departamento,rmse,mae
Cajamarca,0.021287,0.015428
Loreto,0.015076,0.010299
Piura,0.012566,0.009482
Ucayali,0.009838,0.007915
Huanuco,0.011431,0.007856
Madre De Dios,0.009048,0.007661
Junin,0.010582,0.007594
Amazonas,0.009796,0.007245
Cusco,0.008434,0.006896
San Martin,0.008352,0.006557
Puno,0.005414,0.004847
Ayacucho,0.006878,0.004667
