geocode,departamento,distrito,rmse,mae
060810,Cajamarca,San Felipe,0.03324,0.03132
060904,Cajamarca,La Coipa,0.031927,0.027019
060901,Cajamarca,San Ignacio,0.033516,0.0245
060902,Cajamarca,Chirinos,0.030201,0.02027
160101,Loreto,Iquitos,0.026958,0.019511
060811,Cajamarca,San Jose Del Alto,0.020321,0.017427
100804,Huanuco,Umari,0.021707,0.016017
100505,Huanuco,Jircan,0.019053,0.01589
120209,Junin,Mariscal Castilla,0.020837,0.015102
010303,Amazonas,Churuja,0.017005,0.015051
010706,Amazonas,Lonya Grande,0.016831,0.014642
160112,Loreto,Belen,0.01628,0.014475
060803,Cajamarca,Chontali,0.016398,0.014277
060804,Cajamarca,Colasay,0.015526,0.013055
220706,San Martin,San Cristobal,0.015512,0.012981
010705,Amazonas,Jamalca,0.014175,0.012839
010701,Amazonas,Bagua Grande,0.013733,0.012621
220507,San Martin,Rumisapa,0.013873,0.012603
010115,Amazonas,Montevideo,0.024268,0.012556
060809,Cajamarca,Sallique,0.015825,0.012326
010119,Amazonas,San Isidro De Maino,0.012903,0.012278
060807,Cajamarca,Pomahuaca,0.013767,0.012104
220807,San Martin,San Fernando,0.012314,0.011856
010610,Amazonas,Santa Rosa,0.017734,0.011789
010305,Amazonas,Cuispes,0.012945,0.011745
010304,Amazonas,Corosha,0.012643,0.011622
100113,Huanuco,San Pablo De Pillao,0.017591,0.011437
220705,San Martin,Pucacaca,0.012967,0.011415
010204,Amazonas,El Parco,0.012629,0.011333
080901,Cusco,Santa Ana,0.011925,0.011253
220204,San Martin,Huallaga,0.013199,0.011172
120304,Junin,San Luis De Shuaro,0.01416,0.010802
200307,Piura,Sondor,0.011991,0.010716
220806,San Martin,Posic,0.011386,0.01071
060907,Cajamarca,Tabaconas,0.014711,0.010691
220704,San Martin,Pilluana,0.012074,0.010667
220902,San Martin,Alberto Leveau,0.01435,0.010581
010611,Amazonas,Totora,0.013227,0.010519
100103,Huanuco,Chinchao,0.011903,0.010345
120602,Junin,Coviriali,0.0112,0.010326
250102,Ucayali,Campoverde,0.011315,0.010155
220601,San Martin,Juanjui,0.011033,0.009798
010508,Amazonas,Lonya Chico,0.010686,0.009787
100608,Huanuco,Castillo Grande,0.010799,0.009776
010515,Amazonas,Providencia,0.011036,0.009559
010512,Amazonas,Ocalli,0.011223,0.009481
220201,San Martin,Bellavista,0.011243,0.00945
220702,San Martin,Buenos Aires,0.0096,0.009323
250105,Ucayali,Yarinacocha,0.013533,0.009301
010608,Amazonas,Milpuc,0.010298,0.009287
010510,Amazonas,Luya Viejo,0.014038,0.009239
080905,Cusco,Ocobamba,0.009811,0.009188
010514,Amazonas,Pisuquia,0.01299,0.009163
010307,Amazonas,Jazan,0.012324,0.009153
220605,San Martin,Pajarillo,0.010564,0.009087
010306,Amazonas,Florida,0.009931,0.00884
220501,San Martin,Lamas,0.009653,0.008757
220203,San Martin,Bajo Biavo,0.010184,0.008747
010302,Amazonas,Chisquilla,0.008747,0.008565
220707,San Martin,San Hilarion,0.00938,0.008512
220804,San Martin,Nueva Cajamarca,0.008837,0.008442
250106,Ucayali,Nueva Requena,0.009502,0.008411
220302,San Martin,Agua Blanca,0.010088,0.008392
060801,Cajamarca,Jaen,0.009217,0.008311
010310,Amazonas,Shipasbamba,0.010343,0.008262
200303,Piura,El Carmen De La Frontera,0.013115,0.008249
160603,Loreto,Padre Marquez,0.008962,0.008159
250305,Ucayali,Alexander Von Humboldt,0.009118,0.008115
010308,Amazonas,Recta,0.009954,0.008043
100903,Huanuco,Honoria,0.012092,0.007966
010513,Amazonas,Ocumal,0.008532,0.007948
120609,Junin,Vizcatán Del Ene,0.009856,0.007878
170204,Madre De Dios,Huepetuhe,0.009207,0.007851
220708,San Martin,Shamboyacu,0.009409,0.007699
220803,San Martin,Elias Soplin Vargas,0.008403,0.00769
010114,Amazonas,Molinopampa,0.00922,0.007648
010112,Amazonas,Magdalena,0.008634,0.007581
010707,Amazonas,Yamon,0.008127,0.007523
220106,San Martin,Yantalo,0.008183,0.00748
170102,Madre De Dios,Inambari,0.008886,0.007471
220502,San Martin,Alonso De Alvarado,0.008824,0.007286
220808,San Martin,Yorongos,0.007537,0.00727
120603,Junin,Llaylla,0.008866,0.007256
250302,Ucayali,Irazola,0.008665,0.007194
220701,San Martin,Picota,0.008344,0.00719
010203,Amazonas,Copallin,0.007569,0.007166
081304,Cusco,Machupicchu,0.008568,0.007053
100605,Huanuco,Luyando,0.008311,0.007049
220304,San Martin,Santa Rosa,0.008416,0.006885
010523,Amazonas,Trita,0.009695,0.006787
010105,Amazonas,Chiliquin,0.009352,0.006757
120604,Junin,Mazamari,0.00804,0.006745
