geocode,departamento,distrito,rmse,mae
010117,Amazonas,Quinjalca,0.007408,0.006665
010603,Amazonas,Cochamal,0.007237,0.006651
080904,Cusco,Maranura,0.008487,0.006572
220802,San Martin,Awajun,0.007046,0.006523
010605,Amazonas,Limabamba,0.007713,0.006509
080903,Cusco,Huayopata,0.008254,0.006495
050512,Ayacucho,Union Progreso,0.011374,0.00645
220205,San Martin,San Pablo,0.007635,0.006387
250304,Ucayali,Neshuya,0.00699,0.006248
010301,Amazonas,Jumbilla,0.006492,0.006077
010202,Amazonas,Aramango,0.00665,0.006027
010104,Amazonas,Cheto,0.008175,0.006018
220301,San Martin,San Jose De Sisa,0.007232,0.006008
250306,Ucayali,Huipoca,0.008303,0.00598
010102,Amazonas,Asuncion,0.008946,0.005926
220303,San Martin,San Martin,0.00702,0.005861
100902,Huanuco,Codo Del Pozuzo,0.007249,0.005852
100609,Huanuco,Pueblo Nuevo,0.007511,0.005815
220510,San Martin,Tabalosos,0.006529,0.005772
160503,Loreto,Capelo,0.00675,0.005732
010517,Amazonas,San Francisco Del Yeso,0.005922,0.005691
220503,San Martin,Barranquita,0.006631,0.005669
220908,San Martin,Juan Guerra,0.007876,0.005664
100606,Huanuco,Mariano Damaso Beraun,0.006532,0.005535
220305,San Martin,Shatoja,0.00895,0.005531
120601,Junin,Satipo,0.007113,0.005489
100905,Huanuco,Yuyapichis,0.007916,0.00539
220906,San Martin,El Porvenir,0.006475,0.005337
060903,Cajamarca,Huarango,0.006424,0.005274
010518,Amazonas,San Jeronimo,0.005878,0.005246
100601,Huanuco,Rupa-Rupa,0.006095,0.005194
220102,San Martin,Calzada,0.007148,0.00519
080918,Cusco,Union Ashaninka,0.006324,0.005145
010120,Amazonas,Soloco,0.006348,0.00513
010503,Amazonas,Cocabamba,0.006424,0.005104
010604,Amazonas,Huambo,0.007868,0.005096
050409,Ayacucho,Canayre,0.005936,0.004999
120607,Junin,Rio Negro,0.005963,0.004928
010109,Amazonas,La Jalca,0.00679,0.004917
080906,Cusco,Quellouno,0.00598,0.00491
220913,San Martin,Sauce,0.005734,0.00488
211205,Puno,Phara,0.005414,0.004847
220403,San Martin,El Eslabon,0.005194,0.004749
220914,San Martin,Shapaja,0.005692,0.00473
220910,San Martin,Morales,0.004897,0.004717
120302,Junin,Perene,0.004933,0.004673
010516,Amazonas,San Cristobal,0.004789,0.00467
010507,Amazonas,Longuita,0.005162,0.004669
010606,Amazonas,Longar,0.005136,0.004607
010311,Amazonas,Valera,0.005653,0.004562
080408,Cusco,Yanatile,0.00642,0.004552
221001,San Martin,Tocache,0.004991,0.004542
100507,Huanuco,Monzon,0.00676,0.004491
220511,San Martin,Zapatero,0.005463,0.004461
100901,Huanuco,Puerto Inca,0.006104,0.004419
010520,Amazonas,Santa Catalina,0.004704,0.004248
220405,San Martin,Sacanche,0.0052,0.004186
010601,Amazonas,San Nicolas,0.005384,0.004184
050502,Ayacucho,Anco,0.004784,0.004177
050408,Ayacucho,Llochegua,0.004905,0.004101
010609,Amazonas,Omia,0.004633,0.004074
220505,San Martin,Cuñumbuqui,0.006019,0.004068
010111,Amazonas,Levanto,0.004734,0.004012
220504,San Martin,Caynarachi,0.004952,0.004004
060812,Cajamarca,Santa Rosa,0.00505,0.003992
010502,Amazonas,Camporredondo,0.005107,0.003969
010519,Amazonas,San Juan De Lopecancha,0.004769,0.003946
221002,San Martin,Nuevo Progreso,0.005109,0.003884
220710,San Martin,Tres Unidos,0.005348,0.003736
160211,Loreto,Teniente Cesar Lopez Rojas,0.004329,0.003616
050507,Ayacucho,Santa Rosa,0.005,0.003606
220809,San Martin,Yuracyacu,0.003744,0.00356
220401,San Martin,Saposoa,0.004157,0.003382
220912,San Martin,San Antonio,0.003678,0.00337
010511,Amazonas,Maria,0.003496,0.003103
220506,San Martin,Pinto Recodo,0.003821,0.00308
010522,Amazonas,Tingo,0.003589,0.00302
010703,Amazonas,Cumba,0.004077,0.002933
220101,San Martin,Moyobamba,0.003444,0.00281
120303,Junin,Pichanaqui,0.00296,0.002741
100904,Huanuco,Tournavista,0.002863,0.002665
220404,San Martin,Piscoyacu,0.003056,0.002356
010206,Amazonas,La Peca,0.00288,0.002272
221005,San Martin,Uchiza,0.002319,0.00213
221006,San Martin,Santa Lucia,0.002464,0.002069
010602,Amazonas,Chirimoto,0.002231,0.001768
220909,San Martin,La Banda De Shilcayo,0.001985,0.00144
010521,Amazonas,Santo Tomas,0.001477,0.00134
