Métrica,Valor
Total distritos,281
Cambio máximo (%),73.16
Cambio mínimo (%),0.81
Cambio promedio (%),24.47
Total píxeles válidos,822113605
Total píxeles cambio,77244365
Porcentaje global (%),9.40
