geocode,departamento,distrito,rmse,mae
060810,Cajamarca,San Felipe,0.038903,0.034197
120209,Junin,Mariscal Castilla,0.032493,0.025529
060904,Cajamarca,La Coipa,0.033562,0.023648
060901,Cajamarca,San Ignacio,0.034309,0.022718
250106,Ucayali,Nueva Requena,0.020516,0.019913
100804,Huanuco,Umari,0.025221,0.018533
100505,Huanuco,Jircan,0.020799,0.017343
060902,Cajamarca,Chirinos,0.030047,0.0168
060811,Cajamarca,San Jose Del Alto,0.021181,0.016389
060803,Cajamarca,Chontali,0.026256,0.016261
160101,Loreto,Iquitos,0.022304,0.015844
250102,Ucayali,Campoverde,0.016094,0.015281
220507,San Martin,Rumisapa,0.015968,0.015101
010115,Amazonas,Montevideo,0.025313,0.015079
250304,Ucayali,Neshuya,0.015435,0.014615
100113,Huanuco,San Pablo De Pillao,0.022001,0.014218
010706,Amazonas,Lonya Grande,0.016959,0.013832
250105,Ucayali,Yarinacocha,0.017765,0.013636
010610,Amazonas,Santa Rosa,0.018014,0.01308
010119,Amazonas,San Isidro De Maino,0.013998,0.013005
010705,Amazonas,Jamalca,0.014336,0.012877
060804,Cajamarca,Colasay,0.01633,0.012793
220501,San Martin,Lamas,0.01388,0.012716
200307,Piura,Sondor,0.014513,0.01267
060907,Cajamarca,Tabaconas,0.018377,0.01266
250305,Ucayali,Alexander Von Humboldt,0.013339,0.012615
250306,Ucayali,Huipoca,0.013194,0.012516
010307,Amazonas,Jazan,0.013126,0.011968
220204,San Martin,Huallaga,0.012971,0.011968
010701,Amazonas,Bagua Grande,0.014341,0.011902
120304,Junin,San Luis De Shuaro,0.014256,0.011842
220902,San Martin,Alberto Leveau,0.014065,0.011834
060807,Cajamarca,Pomahuaca,0.015003,0.011808
010204,Amazonas,El Parco,0.012708,0.011805
220806,San Martin,Posic,0.013891,0.011801
010305,Amazonas,Cuispes,0.012856,0.011114
220201,San Martin,Bellavista,0.012065,0.010619
010503,Amazonas,Cocabamba,0.011642,0.010594
220601,San Martin,Juanjui,0.011947,0.010588
