modelo,window_size,epochs,lr,batch_size,rmse_train,mae_train,rmse_test,mae_test
MLP_w3,3,20,0.001,32,0.011726,0.008583,0.012226,0.008466
MLP_w4,4,20,0.001,32,0.01022,0.007304,0.012671,0.009068
MLP_w10,10,20,0.001,32,0.011582,0.008598,0.013989,0.01029
MLP_w15,15,20,0.001,32,0.011452,0.008521,0.016517,0.012793
MLP_w20,20,20,0.001,32,0.017763,0.014392,0.016796,0.012846
MLP_w5,5,20,0.001,32,0.013845,0.011237,0.018159,0.015182
MLP_w25,25,20,0.001,32,0.015442,0.011942,0.022404,0.017605
MLP_w30,30,20,0.001,32,0.018939,0.014797,0.023592,0.017785
