departamento,rmse,mae
Cajamarca,0.023066,0.014929
Ucayali,0.015849,0.014248
Piura,0.013449,0.010441
Huanuco,0.013004,0.009038
Junin,0.013065,0.008797
Loreto,0.012952,0.008679
San Martin,0.009285,0.007157
Amazonas,0.009395,0.006703
Madre De Dios,0.007796,0.006481
Cusco,0.006866,0.005627
Puno,0.005323,0.00452
Ayacucho,0.006284,0.003874
