id,Distrito,Píxeles Totales,Píxeles Cambio,pixeles_no_cambiados,% Cambio,Categoría
213,Tocache,1141914,347168,794746,30.4,Medio
215,Santa Ana,439465,133124,306341,30.29,Medio
6,Canayre,310183,93752,216431,30.22,Medio
46,Nuevo Progreso,936488,282485,654003,30.16,Medio
104,Pueblo Nuevo,365872,109547,256325,29.94,Medio
221,Perene,1650475,493889,1156586,29.92,Medio
120,Huambo,88220,26181,62039,29.68,Medio
17,Ocalli,187035,54043,132992,28.89,Medio
209,Chachapoyas,173650,50087,123563,28.84,Medio
277,Huarango,1024474,293381,731093,28.64,Medio
90,Olleros,121131,34543,86588,28.52,Medio
118,Limabamba,694890,196511,498379,28.28,Medio
199,Caynarachi,1434334,401171,1033163,27.97,Medio
23,Vizcatán Del Ene,698173,191865,506308,27.48,Medio
155,Corosha,72919,19844,53075,27.21,Medio
44,Uchiza,681350,183464,497886,26.93,Medio
83,San Fernando,79097,21247,57850,26.86,Medio
25,Union Progreso,45500,12209,33291,26.83,Medio
157,Capelo,903125,241307,661818,26.72,Medio
212,Morales,57964,15389,42575,26.55,Medio
224,Mazamari,1440452,381487,1058965,26.48,Medio
144,Santa Catalina,186531,49177,137354,26.36,Medio
128,Cochamal,205140,54041,151099,26.34,Medio
122,San Nicolas,116128,30409,85719,26.19,Medio
117,San Juan De Lopecancha,97096,25178,71918,25.93,Medio
172,Teniente Cesar Lopez Rojas,1489698,385306,1104392,25.86,Medio
243,La Banda De Shilcayo,302456,76210,226246,25.2,Medio
113,Habana,78377,19744,58633,25.19,Medio
219,Mariano Damaso Beraun,847872,209397,638475,24.7,Medio
134,Lonya Chico,79425,19495,59930,24.55,Medio
7,Inambari,5571038,1349244,4221794,24.22,Medio
16,Trita,16266,3917,12349,24.08,Medio
140,San Cristobal,40803,9795,31008,24.01,Medio
29,Union Ashaninka,353320,84768,268552,23.99,Medio
45,Santa Lucia,305838,73251,232587,23.95,Medio
8,Huepetuhe,1753612,416332,1337280,23.74,Medio
153,Chisquilla,183133,43060,140073,23.51,Medio
241,Nueva Cajamarca,377989,88736,289253,23.48,Medio
82,Yuracyacu,70967,16620,54347,23.42,Medio
43,Padre Marquez,2758153,644061,2114092,23.35,Medio
4,Quellouno,2207594,508260,1699334,23.02,Medio
150,Jumbilla,180343,41469,138874,22.99,Medio
28,Manitea,164812,37890,126922,22.99,Medio
133,Mariscal Benavides,229377,52702,176675,22.98,Medio
67,Palcazu,3175297,728296,2447001,22.94,Medio
105,Santo Domingo De Anda,319872,72040,247832,22.52,Medio
108,Boqueron,624988,138095,486893,22.1,Medio
35,Chaglla,1208886,265235,943651,21.94,Medio
216,Pichari,583338,127953,455385,21.93,Medio
27,Cielo Punco,118237,25840,92397,21.85,Medio
132,San Francisco De Daguas,46192,10039,36153,21.73,Medio
64,Villa Rica,940127,204141,735986,21.71,Medio
19,Sonche,136151,29120,107031,21.39,Medio
218,Jose Crespo Y Castillo,1707524,361710,1345814,21.18,Medio
272,San Juan Del Oro,234235,49364,184871,21.07,Bajo
146,San Carlos,127747,26645,101102,20.86,Bajo
47,Polvora,2529083,522703,2006380,20.67,Bajo
211,Cajaruro,1926131,394890,1531241,20.5,Bajo
191,Alto Saposoa,1556322,318394,1237928,20.46,Bajo
208,Las Pirias,73494,14922,58572,20.3,Bajo
137,Conila,281355,56729,224626,20.16,Bajo
102,La Morada,1030440,206774,823666,20.07,Bajo
210,Nieva,4702651,943634,3759017,20.07,Bajo
36,Daniel Alomia Robles,615852,123508,492344,20.05,Bajo
276,San Jose de Lourdes,1529454,305145,1224309,19.95,Bajo
141,Granada,193826,38388,155438,19.81,Bajo
63,Oxapampa,460602,85141,375461,18.48,Bajo
246,Manantay,732292,135005,597287,18.44,Bajo
0,Alto Inambari,1569296,286317,1282979,18.24,Bajo
242,Tarapoto,66975,12029,54946,17.96,Bajo
66,Constitucion,3473383,617104,2856279,17.77,Bajo
70,Iparia,8371366,1474140,6897226,17.61,Bajo
48,Campanilla,2046898,360337,1686561,17.6,Bajo
273,Yanahuaya,729628,126902,602726,17.39,Bajo
13,Iberia,2953466,505023,2448443,17.1,Bajo
248,Padre Abad,4057251,682694,3374557,16.83,Bajo
85,Pardo Miguel,1314941,216465,1098476,16.46,Bajo
10,Laberinto,3077704,502101,2575603,16.31,Bajo
101,Pucayacu,865873,140983,724890,16.28,Bajo
168,Balsapuerto,3382050,547411,2834639,16.19,Bajo
136,Huancas,52732,8495,44237,16.11,Bajo
20,Vista Alegre,972296,156572,815724,16.1,Bajo
93,Vargas Guerra,2144959,342217,1802742,15.95,Bajo
135,Luya,94498,14951,79547,15.82,Bajo
22,Villa Kintiarina,229881,36181,193700,15.74,Bajo
164,Fernando Lores,5129885,776099,4353786,15.13,Bajo
229,San Juan Bautista,3597790,543402,3054388,15.1,Bajo
198,Chipurana,348248,52042,296206,14.94,Bajo
227,Punchana,1800394,267874,1532520,14.88,Bajo
232,Requena,3460310,511377,2948933,14.78,Bajo
138,Lamud,83198,12077,71121,14.52,Bajo
231,Nauta,7598812,1078899,6519913,14.2,Bajo
156,Yambrasbamba,1892419,266973,1625446,14.11,Bajo
195,Huimbayoc,1935350,270827,1664523,13.99,Bajo
5,Kimbiri,623183,86398,536785,13.86,Bajo
190,Chazuta,1075598,147447,928151,13.71,Bajo
65,Pozuzo,816687,110539,706148,13.54,Bajo
98,Pachiza,2034611,269576,1765035,13.25,Bajo
178,Jenaro Herrera,1306735,171833,1134902,13.15,Bajo
21,Echarate,8531165,1111565,7419600,13.03,Bajo
42,Inahuaya,712804,92848,619956,13.03,Bajo
92,Sarayacu,7042529,890189,6152340,12.64,Bajo
176,San Pablo,5706633,720356,4986277,12.62,Bajo
170,Lagunas,6814420,811381,6003039,11.91,Bajo
158,Emilio San Martin,5230549,611853,4618696,11.7,Bajo
69,Tahuania,8722163,1000175,7721988,11.47,Bajo
174,Urarinas,17708815,2004453,15704362,11.32,Bajo
249,Imaza,5155702,576938,4578764,11.19,Bajo
11,Madre De Dios,9003627,1004362,7999265,11.16,Bajo
1,Villa Virgen,499962,55095,444867,11.02,Bajo
159,Maquia,5520702,606643,4914059,10.99,Muy Bajo
235,Puerto Bermudez,8739715,944970,7794745,10.81,Muy Bajo
160,Puinahua,7075143,762905,6312238,10.78,Muy Bajo
95,Cahuapanas,5382284,578755,4803529,10.75,Muy Bajo
206,San Roque De Cumbaza,736828,79092,657736,10.73,Muy Bajo
269,Tahuamanu,3986543,424581,3561962,10.65,Muy Bajo
200,Papaplaya,1119018,119135,999883,10.65,Muy Bajo
262,Ramon Castilla,7720031,801744,6918287,10.39,Muy Bajo
171,Santa Cruz,2557756,262430,2295326,10.26,Muy Bajo
33,Alto Biavo,6735408,673343,6062065,10.0,Muy Bajo
226,Rio Tambo,11671318,1140692,10530626,9.77,Muy Bajo
97,Pastaza,10223943,974750,9249193,9.53,Muy Bajo
233,Contamana,12443612,1177022,11266590,9.46,Muy Bajo
24,Huachocolpa,250720,23488,227232,9.37,Muy Bajo
54,San Rafael,122146,11020,111126,9.02,Muy Bajo
96,Manseriche,4009428,356539,3652889,8.89,Muy Bajo
26,Kumpirushiato,3374223,285657,3088566,8.47,Muy Bajo
270,Las Piedras,8879835,747646,8132189,8.42,Muy Bajo
161,Saquena,2918212,245419,2672793,8.41,Muy Bajo
169,Jeberos,4889607,407531,4482076,8.33,Muy Bajo
165,Indiana,3779932,292283,3487649,7.73,Muy Bajo
266,Calleria,13174863,1012214,12162649,7.68,Muy Bajo
94,Barranca,8311275,620451,7690824,7.47,Muy Bajo
109,Pampa Hermosa,8441682,616701,7824981,7.31,Muy Bajo
267,Masisea,16665185,1217244,15447941,7.3,Muy Bajo
271,San Pedro De Putina Punco,6375119,459595,5915524,7.21,Muy Bajo
247,Raimondi,16555425,1174161,15381264,7.09,Muy Bajo
257,Torres Causana,7758734,523101,7235633,6.74,Muy Bajo
251,Rio Santiago,9057825,594448,8463377,6.56,Muy Bajo
166,Las Amazonas,7541610,493018,7048592,6.54,Muy Bajo
250,El Cenepa,6296634,394168,5902466,6.26,Muy Bajo
175,Pebas,12597925,736320,11861605,5.84,Muy Bajo
253,Andoas,13215808,743377,12472431,5.62,Muy Bajo
9,Manu,9897981,535360,9362621,5.41,Muy Bajo
173,Parinari,14861039,785548,14075491,5.29,Muy Bajo
278,Tambopata,23718257,1012422,22705835,4.27,Muy Bajo
167,Mazan,11276458,459310,10817148,4.07,Muy Bajo
256,Napo,27089056,1091691,25997365,4.03,Muy Bajo
263,Yavari,16100291,599245,15501046,3.72,Muy Bajo
177,Tapiche,2357519,85896,2271623,3.64,Muy Bajo
252,Morona,12372711,441242,11931469,3.57,Muy Bajo
2,Megantoni,12241310,433466,11807844,3.54,Muy Bajo
103,Sepahua,8821731,310821,8510910,3.52,Muy Bajo
255,Tigre,22570566,786505,21784061,3.48,Muy Bajo
258,Teniente Manuel Clavero,10772135,325400,10446735,3.02,Muy Bajo
12,Fitzcarrald,12197148,359867,11837281,2.95,Muy Bajo
254,Trompeteros,14100856,389750,13711106,2.76,Muy Bajo
265,Alto Tapiche,10223983,264769,9959214,2.59,Muy Bajo
279,Iñapari,15692363,337032,15355331,2.15,Muy Bajo
162,Soplin,5295295,104429,5190866,1.97,Muy Bajo
260,Putumayo,12384060,209088,12174972,1.69,Muy Bajo
259,Rosa Panduro,8030133,102002,7928131,1.27,Muy Bajo
280,Purus,20947113,260498,20686615,1.24,Muy Bajo
264,Yaquerana,12429561,140390,12289171,1.13,Muy Bajo
261,Yaguas,20139715,202035,19937680,1.0,Muy Bajo
268,Yurua,10253497,101113,10152384,0.99,Muy Bajo
163,Alto Nanay,16331982,158702,16173280,0.97,Muy Bajo
