Métrica,Valor
Total distritos,281
Cambio máximo (%),74.44
Cambio mínimo (%),0.97
Cambio promedio (%),26.68
Total píxeles válidos,822113605
Total píxeles cambio,85116211
Porcentaje global (%),10.35
