geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn_pred_2025,deforestacion_2025_mlp,deforestacion_2025_lstm,deforestacion_2025_cnn,area_km2_2024,deforestacion_2025_mlp_km2,deforestacion_2025_lstm_km2,deforestacion_2025_cnn_km2
010102,Amazonas,Asuncion,0.44039905,0.43801544286177596,0.43714018539254107,0.43655281889952957,0.0023836078508094882,0.0032588653200443796,0.003846231813055878,35.2746,0.08408081349416437,0.11495517061843746,0.1356742887128209
010104,Amazonas,Cheto,0.5357477,0.5329459818959513,0.534151360124597,0.5319105922878687,0.002801724994154875,0.0015963467655092378,0.003837114602237457,71.1738,0.19940941438898024,0.1136180654190014,0.27310202727672833
010105,Amazonas,Chiliquin,0.5763412,0.5736219420463398,0.5762101530324857,0.572822551960411,0.0027192697494671236,0.00013105876332120125,0.0035186598353958987,143.3151,0.38971241607185575,0.01878269977125429,0.5042770861757467
010109,Amazonas,La Jalca,0.32066834,0.2971582885242319,0.3166956414252705,0.324251664318267,0.02351005120507721,0.003972698304038569,-0.003583324588957937,125.6139,2.953189221069448,0.49902612749367037,-0.45011537658490336
010111,Amazonas,Levanto,0.23357768,0.2305962442136425,0.2391256461392301,0.23778686192516651,0.002981439354358295,-0.0055479625712293035,-0.0042091783571657215,75.7521,0.225850292115285,-0.4202698154920193,-0.31885409982985347
010112,Amazonas,Magdalena,0.38422406,0.35647352126803067,0.3852727900665086,0.38148684106443825,0.027750535929540132,-0.0010487328689378073,0.0027372161331325473,137.1114,3.804914832049549,-0.14379323188607926,0.37530353611638995
010114,Amazonas,Molinopampa,0.5128931,0.5058158231349827,0.5081413723308793,0.5190019721778212,0.007077257576382001,0.004751708380485442,-0.006108891466456434,344.4525,2.437779065328721,1.6367378309291616,-2.1042229378495847
010115,Amazonas,Montevideo,0.59547544,0.606847641079809,0.5820106763535451,0.5853458062712973,-0.011372205822851034,0.013464758903412921,0.010129628985660721,124.5996,-1.4169722966449096,1.6777035734616885,1.2621477197617315
010117,Amazonas,Quinjalca,0.3426575,0.3407690738782578,0.3437180208955398,0.3386540749690575,0.0018884325876540875,-0.0010605144296279567,0.004003431496854393,83.4606,0.15760971682516273,-0.08851117060540704,0.3341287947863657
010119,Amazonas,San Isidro De Maino,0.38737255,0.37362756316674606,0.3952046911792657,0.3852576847342037,0.013744990181795202,-0.00783213783072445,0.0021148686143375728,109.2762,1.502000296103889,-0.8558662600178112,0.2311048056740755
010120,Amazonas,Soloco,0.5010763,0.5012356768993174,0.5030586488484489,0.5023303828569541,-0.00015939582860813317,-0.0019823677777396354,-0.0012541017862448545,75.6765,-0.01206251842366339,-0.15001865513211352,-0.09490603382675873
010202,Amazonas,Aramango,0.7633451,0.7561210272342431,0.7596149145731004,0.7570448375573154,0.007224095103098183,0.0037302077642409337,0.0063002847800258666,780.1677,5.636005661165372,2.910187611949991,4.915278686177786
010203,Amazonas,Copallin,0.5169837,0.5228896597573428,0.5163345749258325,0.5136505012355472,-0.005905971879687777,0.0006491129518225724,0.0033331866421077994,100.07549999999999,-0.5910430888456941,0.06496030321011985,0.33357031980225904
010204,Amazonas,El Parco,0.2777125,0.27390097307277084,0.2768677511966084,0.2712141925372229,0.003811521062132117,0.0008447429382945626,0.006498301597680056,18.3816,0.07006185555568772,0.015527726794555332,0.11944918064791571
010206,Amazonas,La Peca,0.32350743,0.32501146127127445,0.32313077799301704,0.3195576286723658,-0.0015040331020239606,0.00037665017623345065,0.003949799496884676,139.6206,-0.20999400412444658,0.052588123595820116,0.5514733756347366
010301,Amazonas,Jumbilla,0.40438226,0.4124212239765393,0.405800608566505,0.40280254713541264,-0.00803896532289855,-0.0014183499128642696,0.0015797115182281107,160.5204,-1.2904179292178044,-0.2276740953529377,0.2535759247905836
010302,Amazonas,Chisquilla,0.7342543,0.7250927439230768,0.7300498167841531,0.7260398999978317,0.009161556671253068,0.004204483810176685,0.00821440059649814,163.7163,1.4998961604578687,0.6883425328120291,1.3448312723764682
010303,Amazonas,Churuja,0.7752341,0.7657429598612802,0.7699059238240383,0.7674773346827758,0.009491143341539665,0.005328179378781495,0.007756768520044033,32.1975,0.30559108773922333,0.17155405554831715,0.24974855442411772
010304,Amazonas,Corosha,0.7301616,0.7180748721546795,0.72167010529449,0.7167296899427222,0.012086735110792945,0.008491501970982362,0.013431917322750175,64.9422,0.7849391689121377,0.5514568192999307,0.8722982611575064
010305,Amazonas,Cuispes,0.67228675,0.6667969759876231,0.6678943651292876,0.6646609406632579,0.00548977289848529,0.004392383756820828,0.0076258082228505275,97.5789,0.5356860006840063,0.4286039753684439,0.7441179779967094
010306,Amazonas,Florida,0.48155686,0.48336711460911824,0.4799098517069211,0.4802957538274048,-0.001810252016421099,0.001647010885776068,0.0012611087652923403,224.6445,-0.40666315910290957,0.3699919369297219,0.2833011480247151
010307,Amazonas,Jazan,0.3614663,0.37174695560444004,0.36377910103243544,0.370201126121264,-0.010280667037850688,-0.0023128124658460814,-0.008734837554674635,76.6503,-0.7880162126513666,-0.17727776935084189,-0.6695279190170772
010308,Amazonas,Recta,0.3162469,0.31814553879801855,0.3183975341036141,0.31075043754040454,-0.0018986418158255525,-0.002150637121421106,0.005496459441788448,28.3734,-0.05387092369714473,-0.06102088730092962,0.15595324232564037
010310,Amazonas,Shipasbamba,0.7229563,0.7211150695127277,0.7197242179627492,0.7181681668261337,0.0018412302690715698,0.0032320818190501033,0.004788132955665603,126.828,0.23351955256580906,0.40991847294648653,0.6072693265011571
010311,Amazonas,Valera,0.37023106,0.37320831132450044,0.3699455090693263,0.36480319713314147,-0.0029772491506570575,0.00028555310451711113,0.005427865040701918,78.95609999999999,-0.23507198166419369,0.022546159475563477,0.42856305494016467
010502,Amazonas,Camporredondo,0.61746275,0.6176068651549,0.613045837196964,0.6120143272426831,-0.0001441109053272882,0.004416917052608715,0.0054484270068896334,221.43959999999998,-0.031911861231312566,0.9780803453628528,1.2064974970348377
010503,Amazonas,Cocabamba,0.45194614,0.44191491531365046,0.4629826200954658,0.46366744563725865,0.010031224021981866,-0.011036480759833489,-0.011721306301626322,345.5217,3.466005577156012,-3.813343594154959,-4.04996567955864
010507,Amazonas,Longuita,0.30035448,0.3058268058911979,0.30326725339265803,0.30260784317188627,-0.0054723251477896695,-0.0029127726492498285,-0.0022533624284780673,59.4108,-0.3251152148903025,-0.17305015331005172,-0.13387406456582476
010508,Amazonas,Lonya Chico,0.30748567,0.3064080267728204,0.3056022828566365,0.3021964026919604,0.0010776430784826818,0.0018833869946666137,0.005289267159342692,70.3584,0.07582124277311593,0.1325120955255515,0.37214437450389687
010510,Amazonas,Luya Viejo,0.6565175,0.6483082385362199,0.6521494349441643,0.6507098475601324,0.00820926710953207,0.004368070701587623,0.00580765808561956,68.5476,0.5627255581173606,0.29942076322414773,0.3981010233898154
010511,Amazonas,Maria,0.48333552,0.4849648473769813,0.4846050988080448,0.4796514173906249,-0.0016293225795417365,-0.0012695740106052344,0.003684107406814685,88.8147,-0.14470779610522547,-0.11275683487970072,0.3272028941040242
010512,Amazonas,Ocalli,0.75780535,0.7492338285786428,0.7503890016105533,0.7484015588408173,0.008571518863984107,0.007416345832073623,0.009403788601809682,174.0249,1.4916577131529478,1.290628841792029,1.6364933710510696
010513,Amazonas,Ocumal,0.5722247,0.5766303197758108,0.5736452720238658,0.5698546317876397,-0.0044056431667715,-0.001420595414826531,0.002370044821399575,368.38169999999997,-1.6229583193686685,-0.5233213539260027,0.8730811403833718
010514,Amazonas,Pisuquia,0.49601156,0.48530258468787857,0.5046943736723443,0.5105616169433309,0.010708970506976168,-0.008682818477489529,-0.014550061748476173,294.4764,3.153539082600517,-2.556885127104598,-4.2846498034689695
010515,Amazonas,Providencia,0.70317215,0.7154253186285715,0.7016692571969358,0.7047685382357292,-0.012253171354554171,0.0015028900770814868,-0.0015963909617118244,117.8865,-1.4444834848886503,0.17717045107186669,-0.188192943107841
010516,Amazonas,San Cristobal,0.12525646,0.12899406904880445,0.12893082099073216,0.1254016752571715,-0.0037376051634971375,-0.0036743571054248525,-0.00014521137186418454,35.9694,-0.13443941516789393,-0.1321644204678687,-0.005223165919131599
010517,Amazonas,San Francisco Del Yeso,0.3292229,0.3325000843481968,0.33126310023079497,0.3346476915938015,-0.0032771965937564707,-0.0020402124763546636,-0.00542480383936117,184.14,-0.6034629807743165,-0.3756847253959477,-0.9989233789799657
010518,Amazonas,San Jeronimo,0.41844672,0.4246257267513428,0.4178225349438245,0.41823723120966066,-0.006179007104888945,0.0006241847026293712,0.00020948843679319262,210.32999999999998,-1.2996305643712918,0.13128476850403564,0.0440617029107122
010519,Amazonas,San Juan De Lopecancha,0.16343026,0.16474471839102223,0.16778703579570986,0.16512276813637916,-0.001314459759315989,-0.004356777164003622,-0.0016925095046729233,87.41159999999999,-0.11489903069742549,-0.380832862749019,-0.14794496381866767
010520,Amazonas,Santa Catalina,0.6790474,0.6742594013453598,0.6754778350546679,0.6727609195704614,0.004788004374397303,0.003569570665089228,0.0062864861492957225,166.662,0.7979783850458034,0.5949117861851009,1.0477183546139237
010521,Amazonas,Santo Tomas,0.31714132,0.32030818827930196,0.31685585637844,0.31711263440829923,-0.0031668639976094592,0.00028546790325251203,2.868987339327278e-05,91.13759999999999,-0.2886203842685318,0.026016859579466138,0.002614726205366737
010522,Amazonas,Tingo,0.22122473,0.2262468675785293,0.2276777223894994,0.2254957401019576,-0.005022142332099855,-0.006452997143069961,-0.004271014855528166,110.37599999999999,-0.5543239820478535,-0.7122560126634899,-0.47141753569377676
010523,Amazonas,Trita,0.17880543,0.17981186461783316,0.1871286251043951,0.1794306095638668,-0.0010064388547029735,-0.008323199341264909,-0.0006251838007366173,14.1489,-0.0142400027113069,-0.11776411515962305,-0.008845663078242324
010601,Amazonas,San Nicolas,0.645784,0.6452572516550966,0.6419867137535541,0.6439097979645974,0.0005267687687925404,0.0037973066703350655,0.0018742224592918078,103.4496,0.05449401842408079,0.3928298561234944,0.1938875637247538
010602,Amazonas,Chirimoto,0.68007785,0.6707139135856213,0.6722692454206984,0.6692067623342871,0.009363937233012765,0.007808605397935597,0.010871088484346925,155.7801,1.4587150785524519,1.216425329750947,1.6934992512004123
010603,Amazonas,Cochamal,0.79426485,0.7764476810706861,0.7801313125837601,0.7799412907843881,0.0178171719299548,0.014133540416880752,0.01432356221625275,183.0402,3.2612587134933126,2.587006064613936,2.6217876927753467
010604,Amazonas,Huambo,0.20973042,0.2103388957113842,0.21271087455964743,0.20531239132287082,-0.0006084791750530227,-0.002980458023316257,0.004418025213460353,78.6195,-0.047838328503081125,-0.23432211956411247,0.3473429332696462
010605,Amazonas,Limabamba,0.7546323,0.7437176186551031,0.7348843055199077,0.7381515497775641,0.010914675522905926,0.019747988658101345,0.01648074440044489,622.6002,6.795479163496333,12.295101688131629,10.26091475986587
010606,Amazonas,Longar,0.66545933,0.6572853362631302,0.6589973496403114,0.6555423676811504,0.008173998587181042,0.006461985209999854,0.009916967169160906,83.2419,0.6804191729942656,0.5379079266522869,0.8255071893985753
010608,Amazonas,Milpuc,0.39327306,0.3951960343221553,0.38926524170670646,0.38700740465518374,-0.001922978768718997,0.004007813846729824,0.006265650898252539,43.5087,-0.08366630635456422,0.17437477031321388,0.27261032523680023
010609,Amazonas,Omia,0.68968457,0.6903035988284049,0.6818337727372465,0.6799158372108987,-0.0006190289927420212,0.007850797098416296,0.009768732624764187,228.0051,-0.14114176739304382,1.7900217775041174,2.2273208589826208
