grupo,n,pearson_r,pearson_p,spearman_r,spearman_p,pendiente,rmse_promedio_media,divergencia_media
global,180,0.3331109311399193,4.895985228175318e-06,0.2537382841034188,0.0005882760955104671,0.17277635306509145,,
Cajamarca,13,,,,,,0.019147333333333332,0.005765795644721234
excl_Cajamarca,167,0.24460155257905458,0.0014438361491667124,0.18112484153895309,0.019156206358599364,0.15872363665283132,0.009046387225548902,0.0035980614676988
