modelo,rmse,mae
ARIMA_WF_w30,0.011536904413761874,0.00830227248335115
MLP_w3,0.012226,0.008466
Persistencia_WF,0.013409188866586538,0.00976643224318675
LSTM_w5,0.016096,0.011977
