GEOCODE,CATEG_ID,LEVEL_1,Departamento,LEVEL_3,Distrito,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,pixeles_validos,pixeles_cambiados,pixeles_no_cambiados,% Cambio
010514,95,Perú,Amazonas,Luya,Pisuquia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1249,[Pisuquia][Luya][Amazonas][Perú],POLITICAL_LEVEL_4,197909,89465,108444,45.20511952463001
250306,95,Perú,Ucayali,Padre Abad,Huipoca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1228,[Huipoca][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,671649,302824,368825,45.08664495889966
010611,95,Perú,Amazonas,Rodriguez De Mendoza,Totora,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,690,[Totora][Rodriguez De Mendoza][Amazonas][Perú],POLITICAL_LEVEL_4,22309,9933,12376,44.52463131471603
220706,95,Perú,San Martin,Picota,San Cristobal,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,900,[San Cristobal][Picota][San Martin][Perú],POLITICAL_LEVEL_4,34652,15267,19385,44.05806302666513
010303,95,Perú,Amazonas,Bongara,Churuja,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1052,[Churuja][Bongara][Amazonas][Perú],POLITICAL_LEVEL_4,36309,15994,20315,44.04968465118841
220301,95,Perú,San Martin,El Dorado,San Jose De Sisa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,970,[San Jose De Sisa][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,349155,153559,195596,43.9801807220289
010705,95,Perú,Amazonas,Utcubamba,Jamalca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1299,[Jamalca][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,360444,157730,202714,43.75991832295724
010306,95,Perú,Amazonas,Bongara,Florida,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1295,[Florida][Bongara][Amazonas][Perú],POLITICAL_LEVEL_4,251386,109723,141663,43.64721981335476
220303,95,Perú,San Martin,El Dorado,San Martin,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1337,[San Martin][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,588430,256710,331720,43.62625970803664
220106,95,Perú,San Martin,Moyobamba,Yantalo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1002,[Yantalo][Moyobamba][San Martin][Perú],POLITICAL_LEVEL_4,79733,34613,45120,43.411134661934206
