geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn1d_pred_2025
060904,Cajamarca,La Coipa,0.3897502475519859,0.381432,0.3890902,0.3796122
060907,Cajamarca,Tabaconas,0.6547733858748567,0.65529275,0.6525882,0.65531325
080408,Cusco,Yanatile,0.4810746254020038,0.47621417,0.47362608,0.4752983
080901,Cusco,Santa Ana,0.5728912616904652,0.56542873,0.56484044,0.56784713
080903,Cusco,Huayopata,0.5366979717465078,0.5289322,0.5285338,0.5306008
080904,Cusco,Maranura,0.5441886086878222,0.5396158,0.5384394,0.54067504
080905,Cusco,Ocobamba,0.4471832801393524,0.4413259,0.4397031,0.44071123
080906,Cusco,Quellouno,0.7143641393927217,0.7087515,0.70651305,0.7060502
080918,Cusco,Union Ashaninka,0.7306960269705117,0.72537184,0.722354,0.72290957
081304,Cusco,Machupicchu,0.3669124083894632,0.36150596,0.36074275,0.35861015
100103,Huanuco,Chinchao,0.6457122871445122,0.64158654,0.63758737,0.6402253
100113,Huanuco,San Pablo De Pillao,0.6585655528750035,0.65470225,0.65201885,0.6540227
100505,Huanuco,Jircan,0.7219921308759577,0.7219095,0.7188108,0.7214741
100507,Huanuco,Monzon,0.6952081533813373,0.6922863,0.6886033,0.6897679
100601,Huanuco,Rupa-Rupa,0.5999383587857359,0.59257483,0.5904856,0.5934999
100605,Huanuco,Luyando,0.3534951133357621,0.34589595,0.3459202,0.34252405
100606,Huanuco,Mariano Damaso Beraun,0.8277177285433153,0.8215255,0.81620103,0.81659
100608,Huanuco,Castillo Grande,0.5058251195059013,0.4951216,0.49525714,0.4962244
100609,Huanuco,Pueblo Nuevo,0.6780785848008359,0.6704573,0.66821027,0.66947633
100804,Huanuco,Umari,0.2132666337655345,0.21170107,0.21271819,0.21151328
100901,Huanuco,Puerto Inca,0.600651114519684,0.5910258,0.588501,0.5909615
100902,Huanuco,Codo Del Pozuzo,0.6740932927334595,0.6648472,0.6615598,0.66177404
100903,Huanuco,Honoria,0.3507942227846357,0.34341282,0.34055203,0.33997655
100904,Huanuco,Tournavista,0.4849192208018865,0.47363394,0.47079706,0.47225386
100905,Huanuco,Yuyapichis,0.54344808404226,0.5339884,0.53207266,0.5328407
120209,Junin,Mariscal Castilla,0.3494799451918286,0.34485674,0.34358865,0.3417947
120302,Junin,Perene,0.5440639628387073,0.53536946,0.53394043,0.5355331
120303,Junin,Pichanaqui,0.5880488535044439,0.5802127,0.5787317,0.58159775
120304,Junin,San Luis De Shuaro,0.5973749783225782,0.5831791,0.581262,0.5839386
120601,Junin,Satipo,0.6126474134935721,0.60010344,0.59879535,0.6017747
120602,Junin,Coviriali,0.5460516857163396,0.5349616,0.5334348,0.53473437
120603,Junin,Llaylla,0.6417580856022281,0.63337576,0.6307802,0.6332935
120604,Junin,Mazamari,0.7365834119904845,0.723847,0.72064817,0.72140586
120607,Junin,Rio Negro,0.4379085202180451,0.42890686,0.42652094,0.4271536
120609,Junin,Vizcatán Del Ene,0.7316185252228167,0.72479624,0.7217505,0.7221089
160101,Loreto,Iquitos,0.5545247680728164,0.5531159,0.55621874,0.55787575
160112,Loreto,Belen,0.5613546094348826,0.55996037,0.5594855,0.56253934
160211,Loreto,Teniente Cesar Lopez Rojas,0.7325767747791668,0.72016484,0.71711576,0.717359
160503,Loreto,Capelo,0.7223675437816695,0.7142539,0.7108764,0.71194565
160603,Loreto,Padre Marquez,0.7825643821674573,0.7705275,0.76397073,0.7647635
170102,Madre De Dios,Inambari,0.7961427708008171,0.7860598,0.7803445,0.7807067
170204,Madre De Dios,Huepetuhe,0.7681001929031553,0.7575299,0.7542372,0.7547635
200303,Piura,El Carmen De La Frontera,0.5125405896429467,0.50937736,0.5091245,0.50715387
200307,Piura,Sondor,0.345549330641541,0.3431018,0.34256226,0.3385964
211205,Puno,Phara,0.469414052856274,0.4643322,0.46257073,0.46294597
220101,San Martin,Moyobamba,0.6824468632427669,0.67402285,0.6718611,0.6725334
220102,San Martin,Calzada,0.148669700481164,0.14237028,0.14430033,0.14021444
220106,San Martin,Yantalo,0.2957266049185563,0.2904672,0.28848788,0.28709364
220201,San Martin,Bellavista,0.1615451730450105,0.15581706,0.15738924,0.15352711
220203,San Martin,Bajo Biavo,0.4676027104379366,0.45900643,0.45690274,0.4568389
220204,San Martin,Huallaga,0.4480115710543708,0.4404521,0.43916845,0.43770963
220205,San Martin,San Pablo,0.2409813440546132,0.23472385,0.23565532,0.2324459
220301,San Martin,San Jose De Sisa,0.2961426280344016,0.2905348,0.2885443,0.28718457
220302,San Martin,Agua Blanca,0.2872274215782647,0.2783375,0.27745712,0.27527836
220303,San Martin,San Martin,0.6580984629458327,0.64423496,0.6418494,0.64116573
220304,San Martin,Santa Rosa,0.302986462746719,0.2953779,0.29335874,0.29120877
220305,San Martin,Shatoja,0.3010384587839289,0.29688302,0.29483128,0.29355618
220401,San Martin,Saposoa,0.5671674573888597,0.55737644,0.5562876,0.5582776
220403,San Martin,El Eslabon,0.3564333876836102,0.34760964,0.34665027,0.34464094
220404,San Martin,Piscoyacu,0.3424492476654667,0.33622777,0.3343228,0.33372056
220405,San Martin,Sacanche,0.3092617184499051,0.3035706,0.30020314,0.30019796
220501,San Martin,Lamas,0.4195072051847122,0.4096144,0.40823174,0.40780845
220502,San Martin,Alonso De Alvarado,0.4704975325863594,0.46175614,0.45842892,0.4605266
220503,San Martin,Barranquita,0.6310163034480208,0.6192771,0.6165243,0.6194359
220504,San Martin,Caynarachi,0.747415989515072,0.7384093,0.73539555,0.7361142
220505,San Martin,Cuñumbuqui,0.2994077413185805,0.29519287,0.2934572,0.2917009
220506,San Martin,Pinto Recodo,0.7511332340132209,0.7417777,0.73910564,0.73873067
220507,San Martin,Rumisapa,0.1848842802929071,0.17892697,0.17807183,0.17840269
220510,San Martin,Tabalosos,0.5390015906993185,0.5284596,0.52698874,0.528033
220511,San Martin,Zapatero,0.178502497873879,0.17681703,0.17551747,0.17324802
220601,San Martin,Juanjui,0.4154359237556996,0.40662333,0.4065122,0.40392792
220605,San Martin,Pajarillo,0.2918167460257033,0.2854302,0.2852937,0.2819963
220701,San Martin,Picota,0.3634250939388989,0.3540871,0.35379475,0.3508643
220702,San Martin,Buenos Aires,0.3216851451363488,0.3174067,0.31561422,0.3128847
220704,San Martin,Pilluana,0.4919942342903892,0.4858856,0.48424953,0.4856664
220705,San Martin,Pucacaca,0.445457408833205,0.4339435,0.43322587,0.43467665
220706,San Martin,San Cristobal,0.4205353717203317,0.4167126,0.41721416,0.4148995
220707,San Martin,San Hilarion,0.3020740867190167,0.29676312,0.2956394,0.2927845
220708,San Martin,Shamboyacu,0.4962160524393856,0.487885,0.48604077,0.48721558
220710,San Martin,Tres Unidos,0.6019796666051664,0.5902647,0.5881098,0.59075594
220802,San Martin,Awajun,0.5191631449337984,0.5121964,0.5115093,0.5129188
220803,San Martin,Elias Soplin Vargas,0.6291842789256741,0.61930037,0.6173214,0.6203514
220804,San Martin,Nueva Cajamarca,0.5762816553428042,0.57024956,0.5692074,0.5722816
220806,San Martin,Posic,0.2794607669017777,0.2712984,0.27014542,0.26902956
220807,San Martin,San Fernando,0.1213080576039535,0.111977614,0.11855684,0.1146303
220808,San Martin,Yorongos,0.4044929159372383,0.39815742,0.39700752,0.3974911
220809,San Martin,Yuracyacu,0.1247420316441183,0.11854872,0.12302016,0.119346395
220902,San Martin,Alberto Leveau,0.5823955259726892,0.5738204,0.5733423,0.5756048
220906,San Martin,El Porvenir,0.5942177117751716,0.5816108,0.5796575,0.58266914
220908,San Martin,Juan Guerra,0.2936261074932869,0.29044682,0.28968036,0.28727645
220909,San Martin,La Banda De Shilcayo,0.6972965228632735,0.69253784,0.6898514,0.69008386
220910,San Martin,Morales,0.0945277992007291,0.08695693,0.09364776,0.091465935
220912,San Martin,San Antonio,0.7255776476462844,0.71703285,0.71400166,0.71324223
220913,San Martin,Sauce,0.5985980608857225,0.5883726,0.5869151,0.5897832
220914,San Martin,Shapaja,0.6604915442288942,0.6548931,0.6521788,0.6536635
221001,San Martin,Tocache,0.6039235132086453,0.5983188,0.5961617,0.5995184
221002,San Martin,Nuevo Progreso,0.6710181144155242,0.66462827,0.66246253,0.66332865
221005,San Martin,Uchiza,0.5332618072930179,0.52681094,0.5254127,0.52713954
221006,San Martin,Santa Lucia,0.1692811987824865,0.16691142,0.16681549,0.16422671
250102,Ucayali,Campoverde,0.1587664351898177,0.15014865,0.15207501,0.14783892
250105,Ucayali,Yarinacocha,0.1846394586027725,0.17575821,0.17492725,0.17481883
250106,Ucayali,Nueva Requena,0.5708956922038567,0.55040663,0.54656905,0.5455954
250302,Ucayali,Irazola,0.6250830086667633,0.6132552,0.61004144,0.6111891
250304,Ucayali,Neshuya,0.2356187871530902,0.22642064,0.22666265,0.22682194
250305,Ucayali,Alexander Von Humboldt,0.17695297870417,0.1728809,0.17150801,0.17116988
250306,Ucayali,Huipoca,0.6053742491879774,0.5923318,0.58915114,0.590972
