geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn1d_pred_2025,deforestacion_2025_mlp,deforestacion_2025_lstm,deforestacion_2025_cnn1d,area_km2_2024,deforestacion_2025_mlp_km2,deforestacion_2025_lstm_km2,deforestacion_2025_cnn1d_km2
010102,Amazonas,Asuncion,0.4403990406694902,0.43643954,0.43518615,0.43695876,0.003959496707011567,0.005212892979670869,0.0034402806463731395,35.2746,0.13966966254115024,0.18388271470069803,0.12135452368855394
010104,Amazonas,Cheto,0.5357477049138869,0.53122735,0.53012717,0.5324887,0.00452035467890155,0.0056205372121657105,0.003259001186164734,71.1738,0.3217308198452032,0.40003499143123983,0.23195549862385154
010105,Amazonas,Chiliquin,0.576341222941616,0.5714811,0.57122564,0.5739299,0.004860114276149741,0.005115579783657065,0.0024113170501975922,143.3151,0.6965277634978277,0.7331398282527907,0.34557814418077293
010109,Amazonas,La Jalca,0.3206683336796326,0.32076013,0.3173799,0.31722414,-9.179720263058355e-05,0.003288441807226594,0.00344418874402469,125.6139,-0.01153100463151786,0.41307400032878067,0.43263798047304297
010111,Amazonas,Levanto,0.2335776829949268,0.22965299,0.23058932,0.22857237,0.0039246970644839785,0.002988367699707367,0.005005314373100617,75.7521,0.2973040444984968,0.22637512882500244,0.37916307492255524
010112,Amazonas,Magdalena,0.3842240688958029,0.3830486,0.38161552,0.38190097,0.0011754748978475837,0.0026085493721823005,0.002323102728352955,137.1114,0.1611710089087392,0.3576618563890363,0.31852386742829336
010114,Amazonas,Molinopampa,0.5128930694362793,0.5044696,0.50364685,0.50544477,0.008423495938507108,0.009246218850341825,0.007448304345336942,344.4525,2.9014942347586197,3.1848831985473676,2.565587052512173
010115,Amazonas,Montevideo,0.5954754268874057,0.57428974,0.57360214,0.5703397,0.021185687755478244,0.02187328693760715,0.025135747169388156,124.5996,2.6397282200574868,2.7254028031110757,3.1319040430068963
010117,Amazonas,Quinjalca,0.3426574934759635,0.34088874,0.3390358,0.33892637,0.0017687548437613776,0.003621684435893946,0.003731118563701563,83.4606,0.14762134051323084,0.30226795603037027,0.3114013939976707
010119,Amazonas,San Isidro De Maino,0.3873725477276845,0.38582978,0.3836236,0.38425243,0.0015427712021870432,0.003748947721580964,0.003120118719200593,109.2762,0.16858817444443178,0.40967076101302574,0.3409547171831079
010120,Amazonas,Soloco,0.5010762918475352,0.49697584,0.4955238,0.49811003,0.00410045270950421,0.005552481460877501,0.0029662657263956893,75.6765,0.31030790947079534,0.4201923632740962,0.2244766082435834
010202,Amazonas,Aramango,0.7633451115702432,0.7603805,0.75743425,0.75816405,0.002964605054740277,0.0059108626459878355,0.005181063375357953,780.1677,2.3128891069650956,4.6114641155362435,4.04209829710725
010203,Amazonas,Copallin,0.5169836773236207,0.51275194,0.5123626,0.5148343,0.004231740411084095,0.004621077950756947,0.002149392541211048,100.07549999999999,0.4234935375094463,0.46245668646097676,0.21510153325796624
010204,Amazonas,El Parco,0.2777124951037995,0.27412322,0.2746631,0.27374604,0.0035892734679809912,0.0030494043979278906,0.003966451660119663,18.3816,0.06597658917903938,0.05605293188095131,0.0729097278356556
010206,Amazonas,La Peca,0.3235074193922673,0.32030132,0.31812006,0.31780064,0.0032060952631626782,0.005387357041040486,0.005706778332391804,139.6206,0.447636944299931,0.7521860224842972,0.7967838148355432
010301,Amazonas,Jumbilla,0.4043822467424701,0.4004026,0.3992495,0.40029526,0.003979641208870233,0.00513275266669494,0.004086989174110711,160.5204,0.6388135987043333,0.8239115111589383,0.656045137023921
010302,Amazonas,Chisquilla,0.7342543167662596,0.7301791,0.7276249,0.72852015,0.004075245339868028,0.006629423577783067,0.0057341618132567,163.7163,0.667184088635436,1.0853446992874058,0.9387757556676778
010303,Amazonas,Churuja,0.7752341020265548,0.77214664,0.77064836,0.7726647,0.0030874598184554847,0.004585741774174479,0.0025693762460677894,32.1975,0.09940848750472046,0.14764942077398277,0.08272749168276765
010304,Amazonas,Corosha,0.7301615898445079,0.7255348,0.7239892,0.72506183,0.0046267931297251375,0.006172401173395792,0.005099755986017862,64.9422,0.3004741247892358,0.4008493114829042,0.3311893731951692
010305,Amazonas,Cuispes,0.6722867341197738,0.6653518,0.66502875,0.6657065,0.006934926048637324,0.0072579832233199415,0.006580218807578975,97.5789,0.6767024554073766,0.7082260191500143,0.642090513002868
010306,Amazonas,Florida,0.4815568598385449,0.47793257,0.47541106,0.47814065,0.003624287473737775,0.0061458023663159,0.0034162076588268864,224.6445,0.8141762473940856,1.3806206996798522,0.7674322614133364
010307,Amazonas,Jazan,0.3614662956309368,0.3537228,0.35415012,0.35331997,0.007743484885697538,0.007316179187302763,0.008146322877412016,76.6503,0.593540439534182,0.5607873295605129,0.6244180924504942
010308,Amazonas,Recta,0.3162469073145975,0.31502783,0.31117216,0.31152177,0.0012190743296731643,0.005074749788581245,0.004725138744651192,28.3734,0.03458928358554856,0.1439879056513311,0.13406825165748612
010310,Amazonas,Shipasbamba,0.7229562872551802,0.7148591,0.7150416,0.7153602,0.00809715925682819,0.00791470943917072,0.007596063008201481,126.828,1.0269465142250058,1.003806768751144,0.9633934792041775
010311,Amazonas,Valera,0.3702310524455995,0.365678,0.36500525,0.36489776,0.004553040074536274,0.005225797700116108,0.005333294676968525,78.95609999999999,0.3594902874290935,0.4126086057901374,0.4210961478441945
010502,Amazonas,Camporredondo,0.6174627302433711,0.61086285,0.6098857,0.6124797,0.00659987910048776,0.007577037646935514,0.004983043506310514,221.43959999999998,1.4614745880603692,1.6778561857223413,1.1034431608199975
010503,Amazonas,Cocabamba,0.4519461440482609,0.45110878,0.44986874,0.45118177,0.0008373605647556404,0.0020774053969852546,0.0007643746772281745,345.5217,0.28932624584732897,0.71778864435552,0.26410803791283016
010507,Amazonas,Longuita,0.3003544810034539,0.29918474,0.29668546,0.29683253,0.0011697414137627482,0.0036690237738396525,0.003521949312856376,59.4108,0.06949527318477589,0.21797963762283284,0.2092418262362476
010508,Amazonas,Lonya Chico,0.3074856733524355,0.30696467,0.30467963,0.30444014,0.0005210077011140735,0.002806041165545836,0.0030455326282533557,70.3584,0.03665726823806443,0.19742856674194018,0.21427880287170092
010510,Amazonas,Luya Viejo,0.6565175148364056,0.65324175,0.6518182,0.6536333,0.0032757612582196005,0.004699298989390255,0.0028842183466900595,68.5476,0.2245455724239339,0.32212566740512744,0.19770624554157154
010511,Amazonas,Maria,0.4833355289158214,0.4801768,0.47797942,0.47994083,0.0031587224659312407,0.0053561073002207915,0.003394697254597012,88.8147,0.2805409881949434,0.47570106303691956,0.30149901825785724
010512,Amazonas,Ocalli,0.7578053485449496,0.7539473,0.7516319,0.75323725,0.0038580309446993866,0.006173432975644211,0.004568101077908615,174.0249,0.6713934493482163,1.0743310562431863,0.794963333272939
010513,Amazonas,Ocumal,0.5722246789132034,0.5690266,0.5679465,0.5694816,0.0031980895195876657,0.004278185287562519,0.0027430676613723337,368.38169999999997,1.1781176539778875,1.5760051691472696,1.0104959283113646
010514,Amazonas,Pisuquia,0.4960115649335566,0.49599117,0.4940837,0.496128,2.0394527215028546e-05,0.0019278623693170793,-0.00011642793486688063,294.4764,0.006005706953983632,0.567709970211964,-0.034285279119033486
010515,Amazonas,Providencia,0.7031721189449174,0.6988172,0.6949433,0.6976321,0.004354925436769186,0.008228810114656149,0.005540044588838278,117.8865,0.5133869175016906,0.970065623581412,0.6530964664220836
010516,Amazonas,San Cristobal,0.1252564679977981,0.12080553,0.12391183,0.12601691,0.004450936257609506,0.0013446401951400233,-0.0007604468467148351,35.9694,0.16009750662445935,0.048365901035069554,-0.02735281680822459
010517,Amazonas,San Francisco Del Yeso,0.3292228739002932,0.32797566,0.3256107,0.32505563,0.0012472133377779415,0.003612176630853503,0.004167244885324328,184.14,0.22966186401843014,0.665146204805364,0.7673564731836218
010518,Amazonas,San Jeronimo,0.4184467265725289,0.4118562,0.4118123,0.41200235,0.006590522301212376,0.006634421122089451,0.006444371712223118,210.32999999999998,1.386184555613999,1.3954177946090742,1.3554447022318883
010519,Amazonas,San Juan De Lopecancha,0.1634302541081504,0.16087459,0.1620731,0.15999062,0.0025556638304785884,0.0013571485344962275,0.003439630514820019,87.41159999999999,0.22339466448426215,0.11863052483797043,0.3006636067092415
010520,Amazonas,Santa Catalina,0.6790474133275731,0.6747872,0.67253643,0.6745726,0.004260189988492313,0.006510980584500614,0.004474826314328495,166.662,0.710011783862106,1.0851330461740414,0.7457835031986156
010521,Amazonas,Santo Tomas,0.3171413335440038,0.31636244,0.31375694,0.3131088,0.0007788929579137238,0.003384390794980374,0.004032531702267972,91.13759999999999,0.07098643484115778,0.3084452545166033,0.3675152612686175
010522,Amazonas,Tingo,0.2212247227658186,0.21844542,0.21913493,0.21518758,0.002779302500620834,0.002089795969859115,0.006037143372431747,110.37599999999999,0.30676829280852513,0.23066331996916967,0.6663557368755264
010523,Amazonas,Trita,0.1788054195025761,0.17875698,0.17765689,0.1784342,4.8437414487123576e-05,0.0011485305407841206,0.0003712263682682515,14.1489,0.0006853361338368627,0.016250443768500444,0.0052524447619906635
010601,Amazonas,San Nicolas,0.6457840339643652,0.6380773,0.6367454,0.6380522,0.007706715295999755,0.009038640688150634,0.007731808851450195,103.4496,0.7972566146850564,0.9350437637329079,0.7998525329589821
010602,Amazonas,Chirimoto,0.6800778790102202,0.6730432,0.67043316,0.67241544,0.007034687577267329,0.009644715367336909,0.007662443696041743,155.7801,1.0958643342554624,1.5024547243952804,1.1936562452137525
010603,Amazonas,Cochamal,0.7942648664063959,0.7884461,0.78556305,0.78574586,0.005818738038018245,0.00870181470580389,0.008519007260277767,183.0402,1.0650629742264672,1.5927819041132851,1.5593207927226944
010604,Amazonas,Huambo,0.2097304103943678,0.20488551,0.20531636,0.20204917,0.004844897803959469,0.004414045629200558,0.0076812444302412075,78.6195,0.3809034428983915,0.3470300603449333,0.6038955964833487
010605,Amazonas,Limabamba,0.7546322664207303,0.74201787,0.7382689,0.7378831,0.012614401239761097,0.01636335458219884,0.016749175447829945,622.6002,7.8537287347555065,10.187827835547914,10.428039983654013
010606,Amazonas,Longar,0.6654593419900314,0.658094,0.6561161,0.65710026,0.007365353094615168,0.009343214022196955,0.00835908173231048,83.2419,0.6131059857666463,0.7777468873143167,0.6958258456528158
010608,Amazonas,Milpuc,0.3932730695240262,0.38619462,0.38593078,0.38657182,0.007078452967858584,0.0073422929279568505,0.006701244973397524,43.5087,0.30797428664266874,0.3194536203145962,0.2915624571740609
010609,Amazonas,Omia,0.6896845728450811,0.68328726,0.68063307,0.6825812,0.0063973099285161705,0.009051504760364315,0.007103386550525448,228.0051,1.4586192899823223,2.0637892480373417,1.6196083607912097
010610,Amazonas,Santa Rosa,0.2609211567196976,0.2583809,0.25815392,0.25973994,0.0025402668271194973,0.0027672413144241848,0.0011812213215958156,20.4786,0.05202110824584934,0.05666922798156711,0.02418975895643207
010611,Amazonas,Totora,0.1858370668373411,0.17993553,0.17905235,0.17662007,0.005901537009269514,0.006784713932067671,0.009217000671417036,19.6866,0.1161811984866852,0.1335679492950434,0.1814514054179186
010701,Amazonas,Bagua Grande,0.4100356661201204,0.39934194,0.40086514,0.39927444,0.010693725240298602,0.009170528543063494,0.010761227500506731,736.0767,7.871401985585702,6.750212387233985,7.921088826522243
010703,Amazonas,Cumba,0.3392431179779432,0.33495462,0.33411348,0.33357817,0.004288498570289401,0.005129639317359713,0.0056649486320874964,304.4781,1.305753896534433,1.5618628330349824,1.7248527960956
010705,Amazonas,Jamalca,0.4755670728457323,0.46808904,0.4667989,0.4667012,0.007478028751646604,0.008768171287809934,0.008865863300596799,354.5973,2.6516888046562563,3.1091698645949255,3.1438111885607136
010706,Amazonas,Lonya Grande,0.5252855489522954,0.51784885,0.51792806,0.52024245,0.007436699655725576,0.007357485082819082,0.005043096330835439,368.6058,2.7412106259584506,2.712011674940594,1.8589145575046617
010707,Amazonas,Yamon,0.480439583552424,0.47576618,0.4742645,0.4761151,0.004673401606623218,0.006175081027094409,0.004324476016108081,136.9296,0.6399270126342745,0.8455513750076266,0.5921487710952731
050408,Ayacucho,Llochegua,0.585625210564898,0.5792432,0.57876486,0.579583,0.006382027428911696,0.006860354703234206,0.006042221349047194,531.6057,3.3927221587658023,3.647003664261112,3.2120793098151776
050409,Ayacucho,Canayre,0.6771801556407601,0.67124224,0.66873896,0.6708443,0.005937918549695609,0.008441194420972464,0.006335839158216117,277.2153,1.6460818721294332,2.340028243768208,1.7563915529966283
050502,Ayacucho,Anco,0.4961942332069594,0.49307865,0.49142575,0.49370608,0.0031155841629225134,0.004768480567188871,0.002488155869694364,773.1818999999999,2.408913282698338,3.6869028650521685,1.9237970828264406
050507,Ayacucho,Santa Rosa,0.4371494667186722,0.43217266,0.4314633,0.43247557,0.004976810659407083,0.0056861655368790065,0.0046738998546585475,401.49539999999996,1.9981665864229101,2.2829693066954513,1.8765492917060753
050512,Ayacucho,Union Progreso,0.1116090339553653,0.1050181,0.110342294,0.10968508,0.006590932322770235,0.0012667399776278704,0.0019239556920825213,40.3677,0.266060778725892,0.05113537939488858,0.0776656661912796
060801,Cajamarca,Jaen,0.3145316267735106,0.3119396,0.31071955,0.3092801,0.00259202964368882,0.003812077117596291,0.0052515292889219745,562.4649,1.4579256943344676,2.144159574741086,2.953800896340569
060803,Cajamarca,Chontali,0.5326125661403668,0.52972794,0.53286284,0.5289911,0.0028846303493511583,-0.00025027594261051167,0.003621462968064537,467.5851,1.3488101703643962,-0.11702530165313037,1.6933421240687534
060804,Cajamarca,Colasay,0.2988213225410986,0.2962214,0.29695392,0.2944802,0.0025999172733831566,0.0018674059914159935,0.004341117958884255,609.327,1.5841997924387385,1.137860890531533,2.6451603825330667
060807,Cajamarca,Pomahuaca,0.4155077918864532,0.41144535,0.4132173,0.41208807,0.004062442431573443,0.002290485749368243,0.003419725546960406,822.0473999999999,3.3395202385246265,1.8828878550052155,2.811176494592379
060809,Cajamarca,Sallique,0.2989790733126992,0.29893386,0.29705107,0.29694432,4.520967286764099e-05,0.00192800119203268,0.0020347531108254047,370.1637,0.0167349797844756,0.7136760548472274,0.7531917400896418
060810,Cajamarca,San Felipe,0.3593837924207162,0.35593048,0.35948375,0.35559756,0.003453315039963656,-9.995625367648087e-05,0.0037862367833566,259.101,0.8947573801696231,-0.02589876528382987,0.9810177368044785
060811,Cajamarca,San Jose Del Alto,0.4659669503195509,0.4616254,0.46234995,0.46033645,0.004341553114198093,0.003616999052308445,0.005630503557465916,509.77799999999996,2.2132282634496754,1.8438665428876944,2.8703068425178593
060812,Cajamarca,Santa Rosa,0.332466045539765,0.3279079,0.32714474,0.3264013,0.004558155458359359,0.0053213035277410725,0.00606475226202452,314.4285,1.4332139835387456,1.6731694862723336,1.9069309566199766
060901,Cajamarca,San Ignacio,0.3073135970395559,0.29777634,0.3068623,0.30187994,0.009537255601262451,0.0004513023656362303,0.005433654622411133,359.94599999999997,3.432897004652014,0.16244448130129852,1.9558222467183974
060902,Cajamarca,Chirinos,0.4075880257021038,0.39924166,0.40736306,0.40055215,0.008346369637116602,0.00022496856556813993,0.007035872114762476,359.6904,3.0021090333223253,0.08091903333663049,2.530735655307761
060903,Cajamarca,Huarango,0.6348832577356406,0.6310599,0.62906915,0.63221484,0.0038233727106161686,0.00581410824146944,0.0026684135088034244,917.2899,3.507141171383834,5.333222767406679,2.4477087606489425
060904,Cajamarca,La Coipa,0.3897502475519859,0.3812914,0.38909018,0.38367033,0.008458858086653864,0.0006600671549522041,0.006079917504378474,409.005,3.459715251731864,0.2699707667112263,2.4867166588783176
060907,Cajamarca,Tabaconas,0.6547733858748567,0.6558659,0.6525881,0.6574553,-0.0010925217942107102,0.002185256831277571,-0.0026819392517912766,781.0965,-0.853364949631706,1.7068964625120013,-2.0948533627867847
080408,Cusco,Yanatile,0.4810746254020038,0.47567564,0.47362608,0.475522,0.005398982911616834,0.007448548226863416,0.0055526138835254035,2055.7637999999997,11.099033626520486,15.312455807339996,11.41486261712894
080901,Cusco,Santa Ana,0.5728912616904652,0.5644839,0.56484044,0.56674457,0.008407380693761124,0.008050825708714737,0.006146695726720108,404.0793,3.397248505568509,3.253172016799455,2.4837525065660526
080903,Cusco,Huayopata,0.5366979717465078,0.5279919,0.5285338,0.53056824,0.008706080839220198,0.008164155408922347,0.006129729673448714,547.3872,4.765597213554394,4.468954169654858,3.355335562706006
080904,Cusco,Maranura,0.5441886086878222,0.53871816,0.53843933,0.54006225,0.005470444720689582,0.00574927524894886,0.004126359981004524,169.9137,0.9295035031378335,0.9768806298673219,0.7011250919044084
080905,Cusco,Ocobamba,0.4471832801393524,0.44058758,0.4397031,0.4410615,0.0065956999353423695,0.007480173259164391,0.006121783404733239,890.2323,5.871705123549689,6.659091844904412,5.449809320497502
080906,Cusco,Quellouno,0.7143641393927217,0.7076128,0.7065131,0.7074176,0.006751326873648211,0.007851032569754168,0.0069465320852876156,2024.6796,13.66927379400731,15.895825482916841,14.064501803827294
080918,Cusco,Union Ashaninka,0.7306960269705117,0.7245929,0.72235405,0.723286,0.006103102852469733,0.008341972519522955,0.007410053898459723,316.3455,1.930689123415964,2.6389454676747492,2.3441372055351906
081304,Cusco,Machupicchu,0.3669124083894632,0.36095157,0.36074272,0.36043572,0.005960835732831737,0.006169690408124706,0.0064766841310403556,373.19669999999996,2.224564224734886,2.3025081003337933,2.417077144646628
100103,Huanuco,Chinchao,0.6457122871445122,0.6407446,0.6375873,0.64102936,0.004967660622448022,0.00812497826084524,0.004682929234355981,823.446,4.090600268912334,6.690480848979969,3.8561393463134954
100113,Huanuco,San Pablo De Pillao,0.6585655528750035,0.6540909,0.65201885,0.65421784,0.004474671527347263,0.006546707793674167,0.0043477136339756806,605.4723,2.70928966140746,3.9638502252638235,2.6324201737046136
100505,Huanuco,Jircan,0.7219921308759577,0.72368103,0.71881074,0.7225728,-0.001688901781665586,0.003181393742931582,-0.0005806726213567481,243.3816,-0.41104761786462096,0.774292699384677,-0.14132503166199953
