geocode,departamento,distrito,elev_media_m,elev_mediana_m,elev_std_m,elev_min_m,elev_max_m,elev_count_px
220802,San Martin,Awajun,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867
250302,Ucayali,Irazola,273.4233371856733,269.0,36.93115844654983,175.0,492.0,2001381
010109,Amazonas,La Jalca,2920.608450103895,2995.0,398.38623612304013,1871.0,3734.0,131383
220906,San Martin,El Porvenir,188.98554646289506,180.0,41.69151720591711,124.0,455.0,518489
220707,San Martin,San Hilarion,314.5989407144736,307.0,66.45125657050016,219.0,541.0,110263
220806,San Martin,Posic,817.9373865209341,818.0,5.369482229048223,805.0,845.0,55627
220406,San Martin,Tingo De Saposoa,351.71266745666713,346.0,80.06324091338637,245.0,702.0,49789
100901,Huanuco,Puerto Inca,408.6469846468011,256.0,364.52076653428185,137.0,2150.0,2550348
010105,Amazonas,Chiliquin,2657.6969260230467,2628.0,339.05368117953316,1832.0,3630.0,149871
220105,San Martin,Soritor,1456.3263680400341,1470.0,370.9696585358497,831.0,2578.0,617873
220201,San Martin,Bellavista,402.3244507611556,351.0,153.33483505194943,235.0,1169.0,275108
060803,Cajamarca,Chontali,2399.218192006512,2326.0,607.3502148126908,1179.0,3959.0,488973
100605,Huanuco,Luyando,736.2571176099306,706.0,128.30806522043932,578.0,1494.0,118825
010307,Amazonas,Jazan,1926.997654749133,1895.0,462.94450733357473,928.0,3061.0,80162
010502,Amazonas,Camporredondo,1684.3405460724325,1609.0,583.1873361577547,528.0,3608.0,231581
010515,Amazonas,Providencia,1668.5426128990398,1620.0,544.7523190437598,556.0,3170.0,123296
010102,Amazonas,Asuncion,2836.789017184366,2832.0,299.36183573183627,2154.0,3464.0,36894
010510,Amazonas,Luya Viejo,2559.387569549999,2706.0,428.5709813689978,1205.0,3250.0,71711
100601,Huanuco,Rupa-Rupa,854.8664982692487,809.0,202.7820798277999,559.0,1806.0,277914
010514,Amazonas,Pisuquia,2379.0726116221454,2384.0,799.266682183433,672.0,3900.0,307981
060810,Cajamarca,San Felipe,2131.0026126425328,2106.0,528.9210021107651,1085.0,3698.0,270990
010305,Amazonas,Cuispes,2234.198845822229,2147.0,486.9546977082778,1329.0,3309.0,102064
060905,Cajamarca,Namballe,1988.5237150575329,1927.0,776.0738357451218,635.0,3702.0,668921
010119,Amazonas,San Isidro De Maino,2857.1519308498537,2913.0,299.87359111700715,1811.0,3527.0,114302
060801,Cajamarca,Jaen,1473.0141133350787,1406.0,620.9995048487897,428.0,3221.0,588238
010513,Amazonas,Ocumal,2057.531159226542,2105.0,517.5724581862835,577.0,3604.0,385231
220912,San Martin,San Antonio,750.8958315748857,717.0,237.9892583007379,316.0,1429.0,82933
220903,San Martin,Cacatachi,379.01148576880837,310.0,149.58658451419532,251.0,855.0,55547
120602,Junin,Coviriali,1045.3431773060477,1014.0,246.85562485160435,629.0,1757.0,104768
120304,Junin,San Luis De Shuaro,1402.0785492629946,1425.0,350.1161057801789,688.0,2512.0,206240
120601,Junin,Satipo,1110.050610183981,1101.0,362.3652002615509,323.0,2747.0,874982
010203,Amazonas,Copallin,1311.1477787331614,1057.0,787.9507794049488,398.0,3375.0,104670
010112,Amazonas,Magdalena,2705.943285018763,2775.0,402.7305529770551,1760.0,3514.0,143366
220102,San Martin,Calzada,837.8105580693816,827.0,44.4849555747819,805.0,1438.0,122655
060805,Cajamarca,Huabal,1642.2664757404889,1697.0,400.273956013039,670.0,2455.0,89738
010610,Amazonas,Santa Rosa,1920.025064177363,1897.0,122.94089491499074,1703.0,2347.0,21425
220503,San Martin,Barranquita,295.77149734773707,185.0,251.09849291501016,124.0,1641.0,1119987
220801,San Martin,Rioja,988.4761480664382,851.0,297.3621809586992,0.0,2332.0,221198
220703,San Martin,Caspisapa,343.67736654098036,328.0,104.35967230849747,213.0,637.0,80624
080904,Cusco,Maranura,2090.5303958808136,1982.0,707.4576641969659,996.0,4298.0,177705
010117,Amazonas,Quinjalca,3081.4945358321115,3094.0,315.9908052541248,2242.0,3650.0,87296
250303,Ucayali,Curimana,252.79056150913425,257.0,43.295353369755176,142.0,432.0,1999451
010308,Amazonas,Recta,2471.9699245588035,2370.0,356.8006602751669,1920.0,3421.0,29692
010115,Amazonas,Montevideo,2839.023661509179,2807.0,376.69043183155117,2019.0,3798.0,130296
010114,Amazonas,Molinopampa,2765.6225796602644,2706.0,335.6593558274983,1996.0,3698.0,360280
010503,Amazonas,Cocabamba,2238.088770577313,2284.0,717.7542861822271,731.0,3746.0,361381
060809,Cajamarca,Sallique,2416.3483328038187,2377.0,577.4702093871052,1239.0,3965.0,387147
010120,Amazonas,Soloco,2927.779109870258,2996.0,280.65137442316876,2035.0,3492.0,79157
010521,Amazonas,Santo Tomas,2940.7019937040923,2932.0,365.4806474468173,1939.0,3727.0,95300
100113,Huanuco,San Pablo De Pillao,2376.588094561304,2398.0,603.7471779994279,787.0,4246.0,633240
010602,Amazonas,Chirimoto,1946.726739189156,1956.0,329.9635280741471,1140.0,2683.0,162892
100603,Huanuco,Hermilio Valdizan,1299.0029148011502,1297.0,360.8653125188137,609.0,2260.0,304652
010111,Amazonas,Levanto,2747.453361105851,2787.0,469.429208375156,1723.0,3496.0,79215
010518,Amazonas,San Jeronimo,2207.9632325859507,2199.0,596.6248581918862,744.0,3602.0,219923
010609,Amazonas,Omia,2146.093969415061,2149.0,407.80836962584823,1301.0,3340.0,238418
100902,Huanuco,Codo Del Pozuzo,856.8109574925909,434.0,716.2235746108664,208.0,3998.0,3441353
010113,Amazonas,Mariscal Castilla,2905.4881905787993,2960.0,411.6008414395306,1961.0,3796.0,83535
220101,San Martin,Moyobamba,1127.2739700108793,1031.0,293.56388498640433,765.0,2275.0,2854035
010310,Amazonas,Shipasbamba,2078.477058202654,2060.0,567.0521131309215,718.0,3553.0,132640
100103,Huanuco,Chinchao,2397.954925642464,2347.0,773.3765265590173,742.0,4060.0,861177
010311,Amazonas,Valera,2218.6366267803505,2182.0,432.1070712049137,1384.0,3053.0,82568
060907,Cajamarca,Tabaconas,2247.3821730354216,2168.0,600.7712691124832,809.0,3819.0,816931
160112,Loreto,Belen,97.3236830607597,99.0,8.725698884139103,54.0,242.0,688927
200307,Piura,Sondor,2387.2733630689836,2328.0,461.74159005439105,1423.0,3760.0,362752
220803,San Martin,Elias Soplin Vargas,1388.3426639742058,1334.0,487.1071207856962,341.0,2829.0,179266
010506,Amazonas,Inguilpata,2717.5255200446322,2756.0,364.51255856849014,1687.0,3515.0,125470
