zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
3783,2.479423,2796.000000,-9.992158,-73.834908,36886,20927,36999,20997
4234,2.479423,2796.000000,-11.175102,-75.412161,41276,15064,41406,15177
332,2.479423,2796.000000,-3.050920,-77.640796,11117,6803,11261,6883
694,2.477649,2794.000000,-3.846051,-74.994029,14068,16622,14173,16702
3186,2.476762,2793.000000,-8.506016,-75.248211,31386,15640,31454,15792
1868,2.472328,2788.000000,-5.283912,-78.347854,19360,4181,19569,4251
2119,2.471442,2787.000000,-5.761694,-74.204224,21194,19554,21284,19638
1017,2.467008,2782.000000,-4.203325,-77.460820,15358,7355,15502,7660
4446,2.465234,2780.000000,-11.684151,-74.087558,43135,20005,43302,20063
4453,2.464347,2779.000000,-11.703078,-74.244699,43219,19391,43344,19503
2578,2.464347,2779.000000,-6.665780,-77.973057,24543,5565,24658,5653
3403,2.464347,2779.000000,-9.078823,-75.721374,33502,13903,33588,14037
1917,2.464347,2779.000000,-5.349679,-76.001089,19639,12899,19787,12970
5146,2.463461,2778.000000,-13.105933,-72.833363,48429,24632,48576,24769
5387,2.463461,2778.000000,-14.128327,-69.098487,52227,38455,52337,38611
4524,2.462574,2777.000000,-11.899289,-73.530600,43987,22023,44060,22171
1028,2.460800,2775.000000,-4.193657,-74.482091,15387,18521,15450,18619
2952,2.460800,2775.000000,-8.007441,-74.807420,29499,17298,29696,17398
2354,2.459027,2773.000000,-6.151051,-74.166245,22591,19639,22751,19789
785,2.456366,2770.000000,-3.929161,-75.931279,14386,13151,14484,13231
5311,2.455480,2769.000000,-13.693887,-70.211078,50619,34327,50719,34495
3966,2.454593,2768.000000,-10.692824,-75.304339,39483,15478,39597,15553
2009,2.448385,2761.000000,-5.560318,-74.823117,20439,17245,20538,17337
4621,2.447499,2760.000000,-12.179731,-72.854030,44965,24511,45108,24698
4416,2.447499,2760.000000,-11.599151,-70.461209,42827,33438,42965,33524
2715,2.447499,2760.000000,-7.090212,-76.495420,26122,11041,26219,11136
498,2.444838,2757.000000,-3.512902,-73.747158,12822,21246,12956,21329
437,2.443952,2756.000000,-3.422301,-72.620110,12438,25432,12650,25537
944,2.443065,2755.000000,-4.123302,-70.547820,15076,33117,15219,33205
1500,2.443065,2755.000000,-4.718163,-75.982707,17318,12945,17420,13042
3897,2.440404,2752.000000,-10.494854,-71.197793,38676,30711,38925,30797
4845,2.438631,2750.000000,-12.657744,-73.153968,46791,23443,46865,23540
2368,2.437744,2749.000000,-6.176067,-76.150682,22728,12330,22818,12417
838,2.437744,2749.000000,-3.986842,-75.883899,14597,13313,14699,13415
532,2.436857,2748.000000,-3.573586,-72.913299,13084,24322,13151,24452
1325,2.435971,2747.000000,-4.491657,-76.535286,16475,10903,16571,11008
1677,2.434197,2745.000000,-4.981095,-79.385281,18280,328,18390,408
269,2.434197,2745.000000,-2.731479,-73.553323,9939,21970,10061,22064
2882,2.434197,2745.000000,-7.767022,-74.883786,28633,17043,28715,17113
2250,2.433310,2744.000000,-5.988198,-78.223099,22017,4558,22157,4775
980,2.432423,2743.000000,-4.147460,-76.610561,15202,10621,15303,10728
2939,2.432423,2743.000000,-7.957655,-74.945271,29323,16794,29435,16917
