geocode,departamento,distrito,rmse,mae
60810,Cajamarca,San Felipe,0.039932,0.035159
120209,Junin,Mariscal Castilla,0.035428,0.02749
60901,Cajamarca,San Ignacio,0.037107,0.02735
60904,Cajamarca,La Coipa,0.035601,0.025671
100804,Huanuco,Umari,0.026012,0.020926
100505,Huanuco,Jircan,0.023904,0.020494
60803,Cajamarca,Chontali,0.02736,0.019391
60902,Cajamarca,Chirinos,0.031811,0.018933
60811,Cajamarca,San Jose Del Alto,0.022097,0.017697
250106,Ucayali,Nueva Requena,0.017748,0.016864
10115,Amazonas,Montevideo,0.025252,0.014819
160101,Loreto,Iquitos,0.021663,0.014806
60804,Cajamarca,Colasay,0.017908,0.014589
220902,San Martin,Alberto Leveau,0.015206,0.014465
100113,Huanuco,San Pablo De Pillao,0.022385,0.014382
10706,Amazonas,Lonya Grande,0.017846,0.014246
10119,Amazonas,San Isidro De Maino,0.015144,0.014188
200307,Piura,Sondor,0.01742,0.014147
60907,Cajamarca,Tabaconas,0.018052,0.01386
250102,Ucayali,Campoverde,0.014489,0.013637
220507,San Martin,Rumisapa,0.014059,0.013141
60807,Cajamarca,Pomahuaca,0.016529,0.013083
10307,Amazonas,Jazan,0.013817,0.012899
10610,Amazonas,Santa Rosa,0.019234,0.01282
250304,Ucayali,Neshuya,0.013502,0.01242
120304,Junin,San Luis De Shuaro,0.014876,0.012418
220501,San Martin,Lamas,0.012486,0.012264
10705,Amazonas,Jamalca,0.014147,0.012241
220706,San Martin,San Cristobal,0.014295,0.01204
10503,Amazonas,Cocabamba,0.012904,0.011811
220204,San Martin,Huallaga,0.012467,0.011803
250306,Ucayali,Huipoca,0.011748,0.011488
250105,Ucayali,Yarinacocha,0.01628,0.011443
220502,San Martin,Alonso De Alvarado,0.013432,0.011367
10305,Amazonas,Cuispes,0.013065,0.011332
10701,Amazonas,Bagua Grande,0.013177,0.011152
10204,Amazonas,El Parco,0.012779,0.011041
220510,San Martin,Tabalosos,0.012393,0.010999
220303,San Martin,San Martin,0.012234,0.010835
60809,Cajamarca,Sallique,0.014772,0.010818
220806,San Martin,Posic,0.011742,0.010658
10112,Amazonas,Magdalena,0.01171,0.010631
250305,Ucayali,Alexander Von Humboldt,0.011715,0.010533
100904,Huanuco,Tournavista,0.010639,0.010472
220201,San Martin,Bellavista,0.011897,0.010295
100903,Huanuco,Honoria,0.0127,0.010158
220203,San Martin,Bajo Biavo,0.011754,0.010116
220601,San Martin,Juanjui,0.011176,0.010016
10303,Amazonas,Churuja,0.013785,0.010013
10310,Amazonas,Shipasbamba,0.011946,0.009884
220705,San Martin,Pucacaca,0.012084,0.009853
10515,Amazonas,Providencia,0.010511,0.009591
10109,Amazonas,La Jalca,0.010132,0.00954
120602,Junin,Coviriali,0.009834,0.00952
100103,Huanuco,Chinchao,0.010411,0.009393
60801,Cajamarca,Jaen,0.010797,0.0092
10508,Amazonas,Lonya Chico,0.010101,0.009175
10611,Amazonas,Totora,0.010907,0.009102
120607,Junin,Rio Negro,0.009609,0.009081
250302,Ucayali,Irazola,0.010005,0.008754
