departamento,rmse,mae
Cajamarca,0.02454,0.016695
Ucayali,0.013875,0.012163
Piura,0.015103,0.011437
Huanuco,0.013333,0.009304
Junin,0.014043,0.009278
Loreto,0.012087,0.007871
Amazonas,0.009918,0.007352
San Martin,0.008755,0.006717
Madre De Dios,0.007632,0.005959
Puno,0.006094,0.005882
Cusco,0.007019,0.005619
Ayacucho,0.006369,0.004336
