Métrica,Valor
Total de distritos,281
Cambio máximo (%),74.43
Cambio mínimo (%),0.97
Cambio promedio (%),26.68
Total píxeles válidos,822114271
Total píxeles cambio,85116272
Porcentaje global cambio (%),10.35
