departamento,rmse,mae
Cajamarca,0.022962,0.014844
Loreto,0.013917,0.010736
Piura,0.012931,0.010038
Ucayali,0.011475,0.010006
Junin,0.012581,0.009707
Huanuco,0.013307,0.009198
San Martin,0.010801,0.008568
Madre De Dios,0.008411,0.007628
Amazonas,0.010043,0.00727
Cusco,0.008289,0.007025
Ayacucho,0.005756,0.004569
Puno,0.005455,0.00378
