departamento,rmse,mae
Cajamarca,0.022524,0.015407
Loreto,0.013985,0.010406
Piura,0.012353,0.01035
Ucayali,0.012062,0.010172
Junin,0.012059,0.009271
Huanuco,0.012115,0.008898
San Martin,0.010236,0.008172
Madre De Dios,0.008375,0.007529
Amazonas,0.009238,0.006722
Cusco,0.007667,0.006543
Ayacucho,0.00552,0.004299
Puno,0.005409,0.00367
