departamento,rmse,mae
Cajamarca,0.022659,0.015075
Loreto,0.013932,0.010493
Piura,0.012815,0.010232
Ucayali,0.010902,0.009581
Huanuco,0.012974,0.009078
Junin,0.011808,0.008764
Madre De Dios,0.009574,0.008701
San Martin,0.010949,0.008548
Cusco,0.008812,0.007262
Amazonas,0.010193,0.007191
Ayacucho,0.005892,0.004749
Puno,0.005292,0.00387
