departamento,rmse,mae
Cajamarca,0.022525,0.015407
Loreto,0.013985,0.010406
Piura,0.012353,0.01035
Ucayali,0.012074,0.010189
Junin,0.012061,0.009275
Huanuco,0.012117,0.008901
San Martin,0.010238,0.008173
Madre De Dios,0.008375,0.007529
Amazonas,0.009238,0.006722
Cusco,0.007667,0.006542
Ayacucho,0.00552,0.004299
Puno,0.005409,0.00367
