departamento,rmse,mae
Cajamarca,0.022634,0.015422
Piura,0.013103,0.010867
Loreto,0.014036,0.010416
Ucayali,0.012022,0.010101
Junin,0.012129,0.009281
Huanuco,0.012151,0.008892
San Martin,0.010144,0.008082
Madre De Dios,0.008674,0.007788
Amazonas,0.009252,0.006733
Cusco,0.007695,0.006568
Ayacucho,0.005467,0.004236
Puno,0.005415,0.003669
