departamento,rmse,mae
Cajamarca,0.022141,0.014304
Loreto,0.014306,0.010874
Ucayali,0.012627,0.010722
Piura,0.012001,0.00967
Junin,0.012167,0.009324
Huanuco,0.012134,0.008904
San Martin,0.010394,0.008279
Madre De Dios,0.008487,0.00759
Amazonas,0.009553,0.006981
Cusco,0.007965,0.006778
Ayacucho,0.005512,0.004321
Puno,0.00536,0.003643
