departamento,rmse,mae
Cajamarca,0.022653,0.014455
Loreto,0.013754,0.010356
Ucayali,0.011495,0.010098
Piura,0.01228,0.010002
Junin,0.012199,0.009413
Huanuco,0.012144,0.008747
San Martin,0.010548,0.008408
Madre De Dios,0.00832,0.007449
Amazonas,0.00974,0.007097
Cusco,0.008102,0.00691
Ayacucho,0.005692,0.004366
Puno,0.005394,0.003693
