departamento,rmse,mae
Cajamarca,0.02293,0.015638
Piura,0.013748,0.01162
Loreto,0.01396,0.010338
Ucayali,0.011776,0.009932
Junin,0.012181,0.009431
Huanuco,0.012137,0.008867
San Martin,0.010143,0.008047
Madre De Dios,0.008738,0.007858
Amazonas,0.009238,0.006714
Cusco,0.007704,0.006578
Ayacucho,0.005438,0.004209
Puno,0.005385,0.00364
