departamento,rmse,mae
Ucayali,0.017568,0.015829
Cajamarca,0.021787,0.015153
Loreto,0.014905,0.011069
Huanuco,0.014236,0.010712
Piura,0.012701,0.010675
Junin,0.012928,0.009787
Madre De Dios,0.010291,0.008978
San Martin,0.011359,0.008945
Amazonas,0.010131,0.007193
Cusco,0.008093,0.006689
Ayacucho,0.006034,0.004743
Puno,0.005092,0.003301
