window,p,d,q,rmse,mae
3,0,1,2,0.01258,0.009061
3,0,1,1,0.012618,0.009206
3,2,1,2,0.01299,0.009287
3,1,1,1,0.012993,0.009299
3,2,1,1,0.012994,0.009289
3,1,1,2,0.013005,0.009293
3,2,1,0,0.013042,0.009237
3,1,1,0,0.013065,0.009253
3,0,1,0,0.013409,0.009766
