departamento,rmse,mae
Ucayali,0.01889,0.016979
Cajamarca,0.021763,0.014918
Piura,0.014226,0.011562
Loreto,0.014809,0.011381
Huanuco,0.014757,0.011251
Junin,0.013216,0.009952
San Martin,0.011367,0.009002
Madre De Dios,0.01011,0.008358
Amazonas,0.009745,0.007066
Cusco,0.008354,0.006922
Ayacucho,0.006903,0.005112
Puno,0.005114,0.003339
