departamento,rmse,mae
Cajamarca,0.022511,0.015353
Loreto,0.013994,0.010435
Piura,0.012352,0.010361
Ucayali,0.012012,0.010082
Junin,0.01198,0.009269
Huanuco,0.012131,0.008921
San Martin,0.010203,0.008149
Madre De Dios,0.008672,0.007799
Amazonas,0.009222,0.006694
Cusco,0.007756,0.006646
Ayacucho,0.005523,0.004303
Puno,0.005422,0.003708
