departamento,rmse,mae
Cajamarca,0.022579,0.015364
Loreto,0.014157,0.010818
Piura,0.013488,0.010738
Ucayali,0.011832,0.010502
Huanuco,0.013331,0.009047
San Martin,0.011043,0.008701
Junin,0.012165,0.008541
Madre De Dios,0.008974,0.008424
Amazonas,0.010359,0.007285
Cusco,0.008448,0.006942
Ayacucho,0.005664,0.004601
Puno,0.005282,0.0038
