departamento,rmse,mae
Cajamarca,0.02254,0.014859
Piura,0.012973,0.010434
Loreto,0.014101,0.01042
Junin,0.012474,0.009372
Ucayali,0.01068,0.009197
Huanuco,0.013152,0.009132
San Martin,0.010855,0.008612
Madre De Dios,0.008844,0.008299
Amazonas,0.010182,0.007341
Cusco,0.008412,0.006999
Ayacucho,0.005803,0.004789
Puno,0.005312,0.003844
