modelo,geocode,departamento,distrito,horizonte,anio,y_true,y_pred,error,abs_error,squared_error
ARIMA_WF_w32_p1_d1_q0,010102,Amazonas,Asuncion,1,2020,0.4378221156299433,0.44300788219304843,0.005185766563105154,0.005185766563105154,2.6892174847019444e-05
ARIMA_WF_w32_p1_d1_q0,010102,Amazonas,Asuncion,2,2021,0.4525182425881512,0.4361903877603928,-0.016327854827758392,0.016327854827758392,0.00026659884327635304
ARIMA_WF_w32_p1_d1_q0,010102,Amazonas,Asuncion,3,2022,0.4470071949788233,0.4563789463528425,0.009371751374019188,0.009371751374019188,8.782972381643054e-05
ARIMA_WF_w32_p1_d1_q0,010102,Amazonas,Asuncion,4,2023,0.440271470122978,0.4457643417615317,0.005492871638553665,0.005492871638553665,3.017163883762722e-05
ARIMA_WF_w32_p1_d1_q0,010102,Amazonas,Asuncion,5,2024,0.4403990406694902,0.438749893192244,-0.0016491474772462045,0.0016491474772462045,2.7196874017075206e-06
ARIMA_WF_w32_p1_d1_q0,010104,Amazonas,Cheto,1,2020,0.5453453377506892,0.5528806000806008,0.007535262329911641,0.007535262329911641,5.6780178380585404e-05
ARIMA_WF_w32_p1_d1_q0,010104,Amazonas,Cheto,2,2021,0.5521104676158923,0.5423970619768717,-0.009713405639020678,0.009713405639020678,9.43502491081587e-05
ARIMA_WF_w32_p1_d1_q0,010104,Amazonas,Cheto,3,2022,0.5424875445739865,0.5538673162428708,0.011379771668884264,0.011379771668884264,0.00012949920323594095
ARIMA_WF_w32_p1_d1_q0,010104,Amazonas,Cheto,4,2023,0.5340911964796035,0.5410413135580227,0.0069501170784191935,0.0069501170784191935,4.8304127403734146e-05
ARIMA_WF_w32_p1_d1_q0,010104,Amazonas,Cheto,5,2024,0.5357477049138869,0.5319390499320599,-0.003808654981827031,0.003808654981827031,1.4505852770595862e-05
ARIMA_WF_w32_p1_d1_q0,010105,Amazonas,Chiliquin,1,2020,0.5714303656767501,0.5740859040065676,0.002655538329817464,0.002655538329817464,7.051883821129726e-06
ARIMA_WF_w32_p1_d1_q0,010105,Amazonas,Chiliquin,2,2021,0.5850451208560717,0.5708644379367398,-0.014180682919331944,0.014180682919331944,0.00020109176805863276
ARIMA_WF_w32_p1_d1_q0,010105,Amazonas,Chiliquin,3,2022,0.5817105106161179,0.5866714320820066,0.004960921465888668,0.004960921465888668,2.461074179071497e-05
ARIMA_WF_w32_p1_d1_q0,010105,Amazonas,Chiliquin,4,2023,0.5734085242936717,0.581393668826589,0.007985144532917321,0.007985144532917321,6.376253321157939e-05
ARIMA_WF_w32_p1_d1_q0,010105,Amazonas,Chiliquin,5,2024,0.576341222941616,0.5725552261554527,-0.003785996786163315,0.003785996786163315,1.433377166483895e-05
ARIMA_WF_w32_p1_d1_q0,010109,Amazonas,La Jalca,1,2020,0.3125219422372842,0.30926268893375275,-0.0032592533035314397,0.0032592533035314397,1.0622732096580602e-05
ARIMA_WF_w32_p1_d1_q0,010109,Amazonas,La Jalca,2,2021,0.3174441682011306,0.3124980903519844,-0.004946077849146191,0.004946077849146191,2.446368608981461e-05
ARIMA_WF_w32_p1_d1_q0,010109,Amazonas,La Jalca,3,2022,0.3227747884589205,0.31733116284348806,-0.005443625615432435,0.005443625615432435,2.9633059840992153e-05
ARIMA_WF_w32_p1_d1_q0,010109,Amazonas,La Jalca,4,2023,0.3151442634931325,0.3225270932846392,0.007382829791506673,0.007382829791506673,5.450617573035847e-05
