Métrica,Valor
Total distritos,281
Cambio máximo (%),60.00
Cambio mínimo (%),0.56
Cambio promedio (%),18.53
Total píxeles válidos,822113605
Total píxeles cambio,52653962
Porcentaje global (%),6.40
