anio,archivo,crs,transform,res_x,res_y,width,height,count,bounds,nodata_original,dtype,clases_unicas,file_size_mb
1985,peru_amazonia_1985.tif,EPSG:4326,"| 0.00, 0.00,-79.50|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40258,53617,1,"BoundingBox(left=-79.5011721391629, bottom=-14.488028902279641, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",2058.83
1986,peru_amazonia_1986.tif,EPSG:4326,"| 0.00, 0.00,-79.50|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40258,53617,1,"BoundingBox(left=-79.5011721391629, bottom=-14.488028902279641, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",2058.83
1987,peru_amazonia_1987.tif,EPSG:4326,"| 0.00, 0.00,-79.50|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40258,53617,1,"BoundingBox(left=-79.5011721391629, bottom=-14.488028902279641, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",2058.83
1988,peru_amazonia_1988.tif,EPSG:4326,"| 0.00, 0.00,-79.50|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40258,53617,1,"BoundingBox(left=-79.5011721391629, bottom=-14.488028902279641, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",2058.83
1989,peru_amazonia_1989.tif,EPSG:4326,"| 0.00, 0.00,-79.50|
| 0.00,-0.00,-0.04|
