Métrica,Valor
Total distritos,357
Cambio máximo (%),74.44
Cambio mínimo (%),0.97
Cambio promedio (%),26.66
Total píxeles válidos,897517183
Total píxeles cambio,100282142
Porcentaje global (%),11.17
