GEOCODE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME
050507,95,Perú,Ayacucho,La Mar,Santa Rosa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,473,[Santa Rosa][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050503,95,Perú,Ayacucho,La Mar,Ayna,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,474,[Ayna][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050402,95,Perú,Ayacucho,Huanta,Ayahuanco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,475,[Ayahuanco][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050407,95,Perú,Ayacucho,Huanta,Sivia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,476,[Sivia][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050408,95,Perú,Ayacucho,Huanta,Llochegua,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,477,[Llochegua][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050409,95,Perú,Ayacucho,Huanta,Canayre,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,478,[Canayre][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050509,95,Perú,Ayacucho,La Mar,Samugari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,479,[Samugari][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
081101,95,Perú,Cusco,Paucartambo,Paucartambo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,481,[Paucartambo][Paucartambo][Cusco][Perú],POLITICAL_LEVEL_4
081209,95,Perú,Cusco,Quispicanchi,Marcapata,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,487,[Marcapata][Quispicanchi][Cusco][Perú],POLITICAL_LEVEL_4
081203,95,Perú,Cusco,Quispicanchi,Camanti,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,492,[Camanti][Quispicanchi][Cusco][Perú],POLITICAL_LEVEL_4
090725,95,Perú,Huancavelica,Tayacaja,Cochabamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,493,[Cochabamba][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
090718,95,Perú,Huancavelica,Tayacaja,Tintay Puncu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,494,[Tintay Puncu][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
090715,95,Perú,Huancavelica,Tayacaja,Salcahuasi,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,563,[Salcahuasi][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
120124,95,Perú,Junin,Huancayo,Pariahuanca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,584,[Pariahuanca][Huancayo][Junin][Perú],POLITICAL_LEVEL_4
120403,95,Perú,Junin,Jauja,Apata,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,608,[Apata][Jauja][Junin][Perú],POLITICAL_LEVEL_4
120135,95,Perú,Junin,Huancayo,Santo Domingo De Acobamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,617,[Santo Domingo De Acobamba][Huancayo][Junin][Perú],POLITICAL_LEVEL_4
120427,95,Perú,Junin,Jauja,Ricran,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,625,[Ricran][Jauja][Junin][Perú],POLITICAL_LEVEL_4
120603,95,Perú,Junin,Satipo,Llaylla,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,628,[Llaylla][Satipo][Junin][Perú],POLITICAL_LEVEL_4
120605,95,Perú,Junin,Satipo,Pampa Hermosa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,629,[Pampa Hermosa][Satipo][Junin][Perú],POLITICAL_LEVEL_4
170102,95,Perú,Madre De Dios,Tambopata,Inambari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,633,[Inambari][Tambopata][Madre De Dios][Perú],POLITICAL_LEVEL_4
170204,95,Perú,Madre De Dios,Manu,Huepetuhe,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,634,[Huepetuhe][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4
170201,95,Perú,Madre De Dios,Manu,Manu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,635,[Manu][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4
170104,95,Perú,Madre De Dios,Tambopata,Laberinto,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,636,[Laberinto][Tambopata][Madre De Dios][Perú],POLITICAL_LEVEL_4
170203,95,Perú,Madre De Dios,Manu,Madre De Dios,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,637,[Madre De Dios][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4
170202,95,Perú,Madre De Dios,Manu,Fitzcarrald,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,638,[Fitzcarrald][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4
170302,95,Perú,Madre De Dios,Tahuamanu,Iberia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,639,[Iberia][Tahuamanu][Madre De Dios][Perú],POLITICAL_LEVEL_4
210304,95,Perú,Puno,Carabaya,Coasa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,640,[Coasa][Carabaya][Puno][Perú],POLITICAL_LEVEL_4
