geocode,pct_bosque_mean,pct_bosque_min,pct_bosque_max,pct_no_bosque_mean,pct_no_bosque_min,pct_no_bosque_max
010102,0.42736962290146446,0.3831453793948053,0.5071184364953819,0.5726303770985355,0.49288156350461804,0.6168546206051947
010104,0.5501748185427784,0.5192584911863635,0.5848107028147999,0.44982518145722167,0.41518929718520015,0.4807415088136365
010105,0.5811454794365701,0.5540414094537143,0.6235532752654814,0.41885452056342987,0.37644672473451857,0.4459585905462858
010109,0.34117133931833976,0.3093765896927012,0.41289379598913817,0.6588286606816602,0.5871062040108619,0.6906234103072988
010111,0.20741306181610808,0.17630006296855136,0.2406111513740213,0.7925869381838919,0.7593888486259787,0.8236999370314486
010112,0.3923759074737768,0.3639019075000328,0.44491486484712434,0.6076240925262233,0.5550851351528757,0.6360980924999672
010114,0.5589819060683258,0.5128930694362793,0.6001828989483311,0.44101809393167424,0.39981710105166895,0.4871069305637207
010115,0.6467134725954177,0.5954754268874057,0.684161104851059,0.35328652740458233,0.3158388951489411,0.40452457311259427
010117,0.2912195095649924,0.2391248085923178,0.35343024133543255,0.7087804904350077,0.6465697586645675,0.7608751914076822
010119,0.3873297204697821,0.3462913241858703,0.45167108665930916,0.6126702795302179,0.5483289133406908,0.6537086758141297
010120,0.4985499791877267,0.4654100017839091,0.5454004876018315,0.5014500208122733,0.45459951239816854,0.5345899982160909
010202,0.789943767859141,0.7435378316738824,0.8570691916622541,0.21005623214085895,0.14293080833774585,0.25646216832611757
010203,0.5100555330725303,0.416916228247673,0.5410225279913665,0.4899444669274698,0.4589774720086335,0.583083771752327
010204,0.29024432040736386,0.20852918135526832,0.37064238151194673,0.7097556795926361,0.6293576184880533,0.7914708186447317
010206,0.3517647646550724,0.31339358232237935,0.39326646640968455,0.6482352353449276,0.6067335335903155,0.6866064176776207
010301,0.4327877951961246,0.40296373545044745,0.4673013523514768,0.5672122048038755,0.5326986476485231,0.5970362645495526
010302,0.7752418818407208,0.7332483082014436,0.8000791613296905,0.22475811815927918,0.19992083867030955,0.2667516917985564
010303,0.7645394828791054,0.7133752620545073,0.8026275331935709,0.23546051712089447,0.19737246680642906,0.28662473794549265
010304,0.7718717952271404,0.7282906954183874,0.8130352836830289,0.22812820477285958,0.1869647163169711,0.2717093045816126
