geocode,pct_bosque_mean,pct_bosque_min,pct_bosque_max,pct_no_bosque_mean,pct_no_bosque_min,pct_no_bosque_max
010101,0.22900285586584396,0.1946806596353547,0.2586880430933903,0.770997144134156,0.7413119569066097,0.8053193403646454
010113,0.2740949703675327,0.2386596660432206,0.3143632963021385,0.7259050296324673,0.6856367036978616,0.7613403339567794
010116,0.4731637582774562,0.428945066844363,0.5321311065761526,0.5268362417225438,0.4678688934238474,0.571054933155637
010506,0.5000136901011192,0.4724772706814295,0.5327437213070484,0.49998630989888077,0.46725627869295167,0.5275227293185706
060805,0.1484901493852545,0.09686962359951323,0.25864420292895807,0.8515098506147455,0.7413557970710419,0.9031303764004868
060905,0.611747930930652,0.565541869633857,0.703517347538926,0.38825206906934795,0.2964826524610739,0.43445813036614295
080917,0.8248596424705372,0.7456990661178758,0.8731033386133044,0.17514035752946283,0.1268966613866957,0.25430093388212416
100603,0.8235558861330465,0.7939328217105995,0.854616962641654,0.17644411386695338,0.145383037358346,0.20606717828940052
100702,0.5155934706185867,0.49992270426652374,0.5274881697374153,0.48440652938141326,0.47251183026258464,0.5000772957334763
160201,0.644028876403645,0.5399653134619815,0.755677145438768,0.355971123596355,0.244322854561232,0.46003468653801854
220103,0.06445272121149473,0.04008166218730618,0.15075201571221833,0.9355472787885052,0.8492479842877817,0.9599183378126939
220104,0.47302527055031085,0.38376467879346077,0.6488924706424131,0.5269747294496891,0.35110752935758693,0.6162353212065392
220105,0.7381523745978356,0.6465234108413767,0.8481326776835332,0.2618476254021644,0.1518673223164668,0.3534765891586234
220406,0.2707070611588997,0.21081387654787787,0.327157576330466,0.7292929388411002,0.672842423669534,0.7891861234521221
220509,0.3538881185228434,0.2506933294409575,0.5224054882498905,0.6461118814771567,0.4775945117501095,0.7493066705590424
220703,0.4825972350338031,0.40469156848779236,0.5801408171128989,0.517402764966197,0.4198591828871011,0.5953084315122077
220709,0.5166316208755581,0.3715656668581062,0.6841273664179717,0.4833683791244419,0.31587263358202833,0.6284343331418938
220801,0.3264459943658136,0.28959888337574574,0.4202320059235555,0.6735540056341864,0.5797679940764445,0.7104011166242542
220903,0.13053334914128925,0.08326276210155482,0.27615934419565735,0.8694666508587108,0.7238406558043426,0.9167372378984452
250303,0.8813178622824935,0.6543735262424756,0.9626187538454803,0.11868213771750649,0.037381246154519696,0.3456264737575244
