archivo,crs,resolucion_x,resolucion_y,ancho,alto,bounds,nodata,dtype
peru_collection3_integration_v1-classification_2000.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2001.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2002.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2003.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2004.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2005.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2006.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2007.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2008.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2009.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2010.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2011.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2012.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2013.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2014.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2015.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2016.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2017.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2018.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2019.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2020.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2021.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
peru_collection3_integration_v1-classification_2022.tif,EPSG:4326,0.0002694945852358564,-0.0002694945852358564,49726,72593,"BoundingBox(left=-81.70051744927272, bottom=-18.8522242155891, right=-68.29962970383453, top=0.7111962104374253)",,uint8
