geocode,departamento,distrito,km_rios,area_utm_km2,densidad_rios_km_km2
250305,Ucayali,Alexander Von Humboldt,0.0,205.12593999026691,0.0
220509,San Martin,Shanao,2.9957342111919547,24.347695206635308,0.12303974506693957
250304,Ucayali,Neshuya,0.0,623.3702441602967,0.0
220501,San Martin,Lamas,6.2430681012276015,129.42042912935193,0.04823866018082692
220902,San Martin,Alberto Leveau,2.2040625247003627,51.77247253795632,0.042572093173345794
250102,Ucayali,Campoverde,10.282833198599207,1324.676230901178,0.007762525633606175
220702,San Martin,Buenos Aires,9.879044542046014,311.17853588157976,0.031747191412345756
220502,San Martin,Alonso De Alvarado,7.79171697844185,296.28767141294287,0.026297810304710102
220404,San Martin,Piscoyacu,0.0,179.75145890612757,0.0
220708,San Martin,Shamboyacu,0.0,392.2988724893263,0.0
220204,San Martin,Huallaga,0.5044416082884934,256.29489046146585,0.001968207822560304
220605,San Martin,Pajarillo,23.87784798524238,454.31514348834213,0.05255789582953906
010703,Amazonas,Cumba,20.4707001863405,301.83529094134155,0.06782076450536316
220704,San Martin,Pilluana,4.860507741796288,68.34812652807737,0.07111398642067525
220104,San Martin,Jepelacio,11.233182687503293,386.1968468908214,0.029086676336016113
220505,San Martin,Cuñumbuqui,19.40139560586171,182.0479718620217,0.10657298407348623
220507,San Martin,Rumisapa,0.3282154568760569,33.24432486598168,0.009872826661368414
220913,San Martin,Sauce,0.0,100.79580658189283,0.0
010608,Amazonas,Milpuc,3.9224539804743275,42.983115807280825,0.09125569207362838
220405,San Martin,Sacanche,0.0,161.72974326145075,0.0
220709,San Martin,Tingo De Ponasa,0.0,335.1977466456922,0.0
220304,San Martin,Santa Rosa,0.0,249.21368058880364,0.0
100903,Huanuco,Honoria,45.98867753281118,948.542425859834,0.0484835219585707
220203,San Martin,Bajo Biavo,56.57807768111427,1122.106368496657,0.05042131411919068
220710,San Martin,Tres Unidos,0.0,370.36766623514353,0.0
220510,San Martin,Tabalosos,26.2857611049841,361.96238288567537,0.07262014603679513
100904,Huanuco,Tournavista,61.64285293269241,1739.5610777174172,0.035435865818277394
010701,Amazonas,Bagua Grande,16.848000303107465,729.4867024694049,0.023095692143633117
220701,San Martin,Picota,15.803101756560114,217.24095873889547,0.0727445774880512
220403,San Martin,El Eslabon,0.0,124.65613655236467,0.0
250105,Ucayali,Yarinacocha,24.739381271656807,661.1835318305731,0.03741681406244737
220914,San Martin,Shapaja,24.596490782063963,237.66784402904216,0.10349103338968464
010707,Amazonas,Yamon,6.4477303375154476,135.68929933822426,0.047518340568946354
010705,Amazonas,Jamalca,14.462012120080631,351.2171603715725,0.04117683801321225
220205,San Martin,San Pablo,0.0,347.99517120809065,0.0
220705,San Martin,Pucacaca,11.675249456666533,202.9035790437305,0.057540874890877315
220601,San Martin,Juanjui,24.09533150319989,447.691909602845,0.0538212350644783
100905,Huanuco,Yuyapichis,96.67159380206908,2065.080020799099,0.046812517107526534
100608,Huanuco,Castillo Grande,10.905818258202963,104.31207555059086,0.10454991141379114
220302,San Martin,Agua Blanca,0.0,152.65118765341998,0.0
250306,Ucayali,Huipoca,35.80064135588594,589.7172837340729,0.0607081432804501
010611,Amazonas,Totora,0.0,19.4660997954613,0.0
010706,Amazonas,Lonya Grande,12.21464859189567,365.14916626882894,0.03345112003597741
220706,San Martin,San Cristobal,3.2602732105170733,30.078780164966393,0.10839113795959072
010303,Amazonas,Churuja,3.6952689028400836,31.86102072825128,0.1159808699902535
220301,San Martin,San Jose De Sisa,0.0,308.50879835909603,0.0
010204,Amazonas,El Parco,0.0,18.217571728944986,0.0
010306,Amazonas,Florida,0.0,222.40537293962277,0.0
220303,San Martin,San Martin,0.0,520.7247035073095,0.0
220106,San Martin,Yantalo,15.037825456464219,69.65109798685789,0.21590220242187178
220305,San Martin,Shatoja,0.0,62.02034500066292,0.0
010104,Amazonas,Cheto,0.0,70.38870266956128,0.0
160201,Loreto,Yurimaguas,133.57232438360526,2234.637247198645,0.05977360511244156
060901,Cajamarca,San Ignacio,6.284706363713474,357.58958812342485,0.01757519394424946
220511,San Martin,Zapatero,4.540297954305958,174.4009589845579,0.02603367539227793
060811,Cajamarca,San Jose Del Alto,0.0,506.2022608744121,0.0
010206,Amazonas,La Peca,0.0,138.45352286810026,0.0
220401,San Martin,Saposoa,0.0,525.5455394530054,0.0
060902,Cajamarca,Chirinos,19.455730522774175,357.1157433684856,0.05448018152114625
220908,San Martin,Juan Guerra,32.14263910656465,192.11798727779112,0.16730676581619772
060904,Cajamarca,La Coipa,0.0,406.1537461378945,0.0
220808,San Martin,Yorongos,0.0,81.80643531677875,0.0
120607,Junin,Rio Negro,16.288801404371025,488.1296776295428,0.03336982394406495
060812,Cajamarca,Santa Rosa,19.142674019275734,311.88852854047394,0.06137665309095067
250106,Ucayali,Nueva Requena,104.0455541514884,2059.982910936716,0.050507969556008
220802,San Martin,Awajun,21.56035629026971,506.8900279879208,0.04253458363711091
250302,Ucayali,Irazola,0.0,1876.8509496375284,0.0
010109,Amazonas,La Jalca,5.311972316916604,124.1966575624039,0.04277065438937073
220906,San Martin,El Porvenir,19.241466641593714,489.31067858617104,0.039323618886043084
220707,San Martin,San Hilarion,0.019190185961043958,103.96379071012514,0.00018458528522253092
220806,San Martin,Posic,0.596883472772498,52.59475802880956,0.011348725522143218
