geocode,departamento,distrito,km_carreteras,area_utm_km2,densidad_carreteras_km_km2
250305,Ucayali,Alexander Von Humboldt,56.59997051585544,205.12593999026691,0.2759279032117589
220509,San Martin,Shanao,37.17819105940212,24.347695206635308,1.526969626647462
250304,Ucayali,Neshuya,145.74587593495065,623.3702441602967,0.23380306856204833
220501,San Martin,Lamas,69.23796886431367,129.42042912935193,0.5349848499969997
220902,San Martin,Alberto Leveau,6.671421345032846,51.77247253795632,0.12886039661601598
250102,Ucayali,Campoverde,420.80262215282767,1324.676230901178,0.3176645072483526
220702,San Martin,Buenos Aires,108.14695334444943,311.17853588157976,0.34753988747348946
220502,San Martin,Alonso De Alvarado,71.68538213239258,296.28767141294287,0.24194520747534928
220404,San Martin,Piscoyacu,77.06132909873502,179.75145890612757,0.42871045146275616
220708,San Martin,Shamboyacu,133.91747171996718,392.2988724893263,0.3413659357983773
220204,San Martin,Huallaga,41.758641954799515,256.29489046146585,0.16293201116733913
220605,San Martin,Pajarillo,106.38144732006845,454.31514348834213,0.23415782820542988
010703,Amazonas,Cumba,113.82251884179665,301.83529094134155,0.3771014266980359
220704,San Martin,Pilluana,23.09126393397399,68.34812652807737,0.3378477963765124
220104,San Martin,Jepelacio,122.61113313554755,386.1968468908214,0.3174835168196232
220505,San Martin,Cuñumbuqui,65.24370625398878,182.0479718620217,0.3583874381387696
220507,San Martin,Rumisapa,30.935811185846458,33.24432486598168,0.930559164926899
220913,San Martin,Sauce,17.91098706888234,100.79580658189283,0.17769575616551397
010608,Amazonas,Milpuc,21.534281465283975,42.983115807280825,0.5009939614856009
220405,San Martin,Sacanche,48.86120251968279,161.72974326145075,0.3021163673072444
220709,San Martin,Tingo De Ponasa,116.24606607725566,335.1977466456922,0.3467984711726868
220304,San Martin,Santa Rosa,97.15665490046466,249.21368058880364,0.38985281494546326
100903,Huanuco,Honoria,182.78714184616948,948.542425859834,0.19270318001904524
220203,San Martin,Bajo Biavo,233.7505772066128,1122.106368496657,0.20831409906333598
220710,San Martin,Tres Unidos,98.79026098690275,370.36766623514353,0.26673565214567513
220510,San Martin,Tabalosos,96.91472360949187,361.96238288567537,0.26774805391891254
100904,Huanuco,Tournavista,138.74724693119074,1739.5610777174172,0.07975991685974565
010701,Amazonas,Bagua Grande,255.32779596771584,729.4867024694049,0.35001021280223327
220701,San Martin,Picota,69.7410032167967,217.24095873889547,0.3210306363111721
220403,San Martin,El Eslabon,19.497859928011906,124.65613655236467,0.15641315756502194
250105,Ucayali,Yarinacocha,125.77240602604998,661.1835318305731,0.19022313770857635
220914,San Martin,Shapaja,28.269056954603982,237.66784402904216,0.11894354943174225
010707,Amazonas,Yamon,53.954417585014326,135.68929933822426,0.39763207451256355
010705,Amazonas,Jamalca,117.78287368190998,351.2171603715725,0.3353562609449402
220205,San Martin,San Pablo,128.83227333185192,347.99517120809065,0.3702128190014858
220705,San Martin,Pucacaca,75.97587213385641,202.9035790437305,0.37444323304657834
220601,San Martin,Juanjui,87.2540830018677,447.691909602845,0.19489760956205857
100905,Huanuco,Yuyapichis,175.63240489432957,2065.080020799099,0.08504871633321366
100608,Huanuco,Castillo Grande,50.59128811418498,104.31207555059086,0.4849993430496783
220302,San Martin,Agua Blanca,31.000428085901362,152.65118765341998,0.20308016309892649
250306,Ucayali,Huipoca,90.1147530443002,589.7172837340729,0.15281009312410884
010611,Amazonas,Totora,10.689398377951104,19.4660997954613,0.5491289210611894
010706,Amazonas,Lonya Grande,161.41454060091934,365.14916626882894,0.4420509630359754
220706,San Martin,San Cristobal,16.997448724472765,30.078780164966393,0.565097674548324
010303,Amazonas,Churuja,7.554557216281235,31.86102072825128,0.2371097046989013
220301,San Martin,San Jose De Sisa,94.4705063086623,308.50879835909603,0.30621657084379533
010204,Amazonas,El Parco,12.972931747590277,18.217571728944986,0.7121109190956683
010306,Amazonas,Florida,55.04176806935973,222.40537293962277,0.247483985399499
220303,San Martin,San Martin,74.75168883859098,520.7247035073095,0.14355318335217349
220106,San Martin,Yantalo,27.19307157237159,69.65109798685789,0.3904184192114604
220305,San Martin,Shatoja,25.637778233280933,62.02034500066292,0.413376904514267
