id,Distrito,Píxeles Totales,Píxeles Cambio,pixeles_no_cambiados,% Cambio,Categoría
247,Raimondi,16555425,1101358,15454067,6.65,Muy Bajo
257,Torres Causana,7758734,503323,7255411,6.49,Muy Bajo
271,San Pedro De Putina Punco,6375119,404446,5970673,6.34,Muy Bajo
166,Las Amazonas,7541610,458048,7083562,6.07,Muy Bajo
251,Rio Santiago,9057825,527477,8530348,5.82,Muy Bajo
175,Pebas,12597925,717512,11880413,5.7,Muy Bajo
250,El Cenepa,6296634,348605,5948029,5.54,Muy Bajo
169,Jeberos,4889607,264239,4625368,5.4,Muy Bajo
94,Barranca,8311275,442379,7868896,5.32,Muy Bajo
253,Andoas,13215808,663201,12552607,5.02,Muy Bajo
9,Manu,9897981,458650,9439331,4.63,Muy Bajo
173,Parinari,14861039,672942,14188097,4.53,Muy Bajo
256,Napo,27089056,1012030,26077026,3.74,Muy Bajo
167,Mazan,11276458,416706,10859752,3.7,Muy Bajo
278,Tambopata,23718257,867600,22850657,3.66,Muy Bajo
263,Yavari,16100291,557767,15542524,3.46,Muy Bajo
103,Sepahua,8821731,290441,8531290,3.29,Muy Bajo
252,Morona,12372711,394446,11978265,3.19,Muy Bajo
177,Tapiche,2357519,75101,2282418,3.19,Muy Bajo
2,Megantoni,12241310,379442,11861868,3.1,Muy Bajo
258,Teniente Manuel Clavero,10772135,308763,10463372,2.87,Muy Bajo
255,Tigre,22570566,615482,21955084,2.73,Muy Bajo
12,Fitzcarrald,12197148,309589,11887559,2.54,Muy Bajo
254,Trompeteros,14100856,337213,13763643,2.39,Muy Bajo
265,Alto Tapiche,10223983,243985,9979998,2.39,Muy Bajo
279,Iñapari,15692363,304056,15388307,1.94,Muy Bajo
260,Putumayo,12384060,192263,12191797,1.55,Muy Bajo
162,Soplin,5295295,76019,5219276,1.44,Muy Bajo
259,Rosa Panduro,8030133,94407,7935726,1.18,Muy Bajo
264,Yaquerana,12429561,133874,12295687,1.08,Muy Bajo
261,Yaguas,20139715,195318,19944397,0.97,Muy Bajo
280,Purus,20947113,196606,20750507,0.94,Muy Bajo
163,Alto Nanay,16331982,138400,16193582,0.85,Muy Bajo
268,Yurua,10253497,82713,10170784,0.81,Muy Bajo
