departamento,rmse,mae
Cajamarca,0.015394,0.010969
San Martin,0.013199,0.009383
Ucayali,0.010984,0.008446
Cusco,0.008132,0.007174
Loreto,0.007925,0.006019
Huanuco,0.006065,0.005672
Amazonas,0.006786,0.004465
