geocode,departamento,distrito,pct_bosque_real_2024,cnn_pred_2025,deforestacion_2025_cnn,area_km2_2024,deforestacion_2025_cnn_km2
010101,Amazonas,Chachapoyas,0.25241327,0.2489181163274779,0.003495156530188115,155.0493,0.541921573396096
010113,Amazonas,Mariscal Castilla,0.2811479,0.2799171859007279,0.001230711342771862,79.87859999999999,0.09830749906473643
010116,Amazonas,Olleros,0.46337095,0.4635356557141785,-0.00016470668425599966,108.0495,-0.017796474880518633
010506,Amazonas,Inguilpata,0.5286629,0.5226956928414196,0.005967227156749355,119.9772,0.7159312060307487
060805,Cajamarca,Huabal,0.110308,0.11854327390175495,-0.008235274946505167,85.7916,-0.7065174141005927
060905,Cajamarca,Namballe,0.59774506,0.5905764724131072,0.0071685885076081535,639.6354,4.585282977499344
080917,Cusco,Manitea,0.7465125,0.7386313617616073,0.007881110867939856,147.1599,1.1597834872149424
100603,Huanuco,Hermilio Valdizan,0.7939328,0.7730715320362611,0.020861263488336057,291.3084,6.077061288765596
100702,Huanuco,Cholon,0.4999227,0.49322533779149724,0.006697354984229076,2241.3914999999997,15.011394534133682
160201,Loreto,Yurimaguas,0.53996533,0.5196088197541625,0.020356511800250332,2262.0303,46.0470464944738
220103,San Martin,Habana,0.046942838,0.046731388384662786,0.00021144915167220502,69.6528,0.014728025471593761
220104,San Martin,Jepelacio,0.38815796,0.37428279639086537,0.013875167361881213,390.87,5.4233866667385096
220105,San Martin,Soritor,0.6465234,0.6299315480735685,0.016591867968759333,590.8032,9.802528689920512
220406,San Martin,Tingo De Saposoa,0.2664713,0.26231938543016275,0.004151911118680629,47.6055,0.1976538047603507
220509,San Martin,Shanao,0.43836665,0.46609872269479596,-0.027732071159761784,24.6636,-0.6839727102559007
220703,San Martin,Caspisapa,0.40469158,0.3860993937273043,0.01859218323039835,77.0787,1.4330613135609054
220709,San Martin,Tingo De Ponasa,0.4435143,0.41639130155309745,0.027122985918673792,340.0551,9.223309688873208
220801,San Martin,Rioja,0.28959888,0.29071713253834874,-0.0011182503400150035,211.4946,-0.23650390836133714
220903,San Martin,Cacatachi,0.10663595,0.09881371605807887,0.007822234447654619,53.1378,0.4156563296325816
250303,Ucayali,Curimana,0.6543735,0.6283907284625103,0.025982798110670835,1911.8223,49.67449284437837
