Métrica,Valor
Total distritos,227
Cambio máximo (%),54.18
Cambio mínimo (%),0.56
Cambio promedio (%),16.55
Total píxeles válidos,816789417
Total píxeles cambio,51276652
Porcentaje global (%),6.28
