window_size,modelo,capas_ocultas,activacion,dropout,epocas,lr,lote,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
3,MLP_w3_h64x32_actleaky_relu_d0.0_e50_lr0.001_b8,"[64, 32]",leaky_relu,0.0,50,0.001,8,0.010129,0.007453,0.012585,0.009398,0.002456,0.001946,1.242485,1.261051
4,MLP_w4_h128x64x32_actleaky_relu_d0.1_e50_lr0.0005_b16,"[128, 64, 32]",leaky_relu,0.1,50,0.0005,16,0.011994,0.009343,0.012389,0.009053,0.000395,-0.00029,1.032912,0.968996
5,MLP_w5_h64x32_actrelu_d0.0_e50_lr0.0005_b16,"[64, 32]",relu,0.0,50,0.0005,16,0.009348,0.006775,0.012445,0.009246,0.003096,0.002471,1.331216,1.364689
6,MLP_w6_h64x32_actleaky_relu_d0.0_e50_lr0.001_b16,"[64, 32]",leaky_relu,0.0,50,0.001,16,0.010861,0.008479,0.01175,0.008719,0.000888,0.000239,1.081761,1.028229
7,MLP_w7_h32x16_actrelu_d0.0_e50_lr0.001_b8,"[32, 16]",relu,0.0,50,0.001,8,0.01105,0.008366,0.013488,0.009901,0.002438,0.001534,1.220595,1.183412
