departamento,rmse,mae
Cajamarca,0.021137,0.014531
Ucayali,0.013255,0.010828
Piura,0.012974,0.010657
Loreto,0.012952,0.009352
Junin,0.011141,0.008838
Amazonas,0.011105,0.008593
Madre De Dios,0.009626,0.008093
Cusco,0.009407,0.007846
San Martin,0.009816,0.007721
Huanuco,0.010807,0.00766
Ayacucho,0.008153,0.006561
Puno,0.007808,0.00624
