variable,lag,n_pares,n_distritos,r_pooled,p_pooled,r_within,p_within,r_between,p_between
pct_bosque,1,6120,180,0.9986,0.0,0.9727,0.0,0.9999,0.0
pct_bosque,2,5940,180,0.9964,0.0,0.9301,0.0,0.9995,1.3581e-271
pct_bosque,3,5760,180,0.9939,0.0,0.8817,0.0,0.9989,1.0298e-239
pct_bosque,4,5580,180,0.9915,0.0,0.8387,0.0,0.9981,1.4017e-217
pct_bosque,5,5400,180,0.989,0.0,0.7945,0.0,0.9971,2.0978e-200
