geocode,distrito,anio,delta_pct_bosque,tipo_cambio,limite_inferior,limite_superior
060810,San Felipe,2005,-0.03934836222168192,PERDIDA EXTREMA,-0.02219,0.01819
120602,Coviriali,1988,0.039348357414995316,GANANCIA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,1999,0.03926880916791231,GANANCIA EXTREMA,-0.02219,0.01819
010608,Milpuc,1987,-0.03924042777651371,PERDIDA EXTREMA,-0.02219,0.01819
220704,Pilluana,2013,-0.03889256820808501,PERDIDA EXTREMA,-0.02219,0.01819
220502,Alonso De Alvarado,1998,-0.03888463903763373,PERDIDA EXTREMA,-0.02219,0.01819
060811,San Jose Del Alto,1996,-0.038545602203312046,PERDIDA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,1988,-0.03844438344884371,PERDIDA EXTREMA,-0.02219,0.01819
060904,La Coipa,1996,-0.03827263725382335,PERDIDA EXTREMA,-0.02219,0.01819
010611,Totora,1987,-0.03826460638200607,PERDIDA EXTREMA,-0.02219,0.01819
100804,Umari,1997,-0.03814101126116018,PERDIDA EXTREMA,-0.02219,0.01819
220505,Cuñumbuqui,1987,-0.03804310706514846,PERDIDA EXTREMA,-0.02219,0.01819
250305,Alexander Von Humboldt,1992,-0.037882212148997674,PERDIDA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,2019,0.037620942839497684,GANANCIA EXTREMA,-0.02219,0.01819
220501,Lamas,1998,-0.037436752964114806,PERDIDA EXTREMA,-0.02219,0.01819
010604,Huambo,1988,-0.03731898574781062,PERDIDA EXTREMA,-0.02219,0.01819
220502,Alonso De Alvarado,1988,-0.037288694895678653,PERDIDA EXTREMA,-0.02219,0.01819
010119,San Isidro De Maino,1987,-0.0371361742081075,PERDIDA EXTREMA,-0.02219,0.01819
220808,Yorongos,1997,-0.037089390759729,PERDIDA EXTREMA,-0.02219,0.01819
010523,Trita,1998,0.0370205457668087,GANANCIA EXTREMA,-0.02219,0.01819
060901,San Ignacio,1996,-0.03691303695554332,PERDIDA EXTREMA,-0.02219,0.01819
010608,Milpuc,1997,-0.03675816560825762,PERDIDA EXTREMA,-0.02219,0.01819
220404,Piscoyacu,2003,-0.036631556075712446,PERDIDA EXTREMA,-0.02219,0.01819
220511,Zapatero,1998,-0.03646743088197102,PERDIDA EXTREMA,-0.02219,0.01819
060901,San Ignacio,1989,-0.03636795519327901,PERDIDA EXTREMA,-0.02219,0.01819
100804,Umari,2001,-0.0362118085154112,PERDIDA EXTREMA,-0.02219,0.01819
060811,San Jose Del Alto,2000,-0.03587267398750049,PERDIDA EXTREMA,-0.02219,0.01819
250102,Campoverde,2005,-0.0357221477315936,PERDIDA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,1991,0.03571673643038498,GANANCIA EXTREMA,-0.02219,0.01819
010111,Levanto,1987,-0.03565445710415949,PERDIDA EXTREMA,-0.02219,0.01819
250305,Alexander Von Humboldt,1996,-0.03557484104537678,PERDIDA EXTREMA,-0.02219,0.01819
250304,Neshuya,2005,-0.03531553999957482,PERDIDA EXTREMA,-0.02219,0.01819
010120,Soloco,1987,-0.03483379913183082,PERDIDA EXTREMA,-0.02219,0.01819
010204,El Parco,1988,0.034420289855072395,GANANCIA EXTREMA,-0.02219,0.01819
060803,Chontali,1996,-0.03438240440082463,PERDIDA EXTREMA,-0.02219,0.01819
120604,Mazamari,2017,-0.034010539477763,PERDIDA EXTREMA,-0.02219,0.01819
220510,Tabalosos,2019,0.03399137880245873,GANANCIA EXTREMA,-0.02219,0.01819
010307,Jazan,1996,0.03392158934798695,GANANCIA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,2010,0.03363228699551568,GANANCIA EXTREMA,-0.02219,0.01819
060803,Chontali,1998,-0.033564371490879374,PERDIDA EXTREMA,-0.02219,0.01819
010609,Omia,1990,-0.03350056643469823,PERDIDA EXTREMA,-0.02219,0.01819
010109,La Jalca,1987,-0.03337369510858268,PERDIDA EXTREMA,-0.02219,0.01819
220302,Agua Blanca,1988,-0.03325907528370259,PERDIDA EXTREMA,-0.02219,0.01819
010112,Magdalena,1987,-0.033154792380502285,PERDIDA EXTREMA,-0.02219,0.01819
250106,Nueva Requena,2013,-0.03312573042420197,PERDIDA EXTREMA,-0.02219,0.01819
220405,Sacanche,2017,0.033034450212364286,GANANCIA EXTREMA,-0.02219,0.01819
060810,San Felipe,1998,-0.03286671992775014,PERDIDA EXTREMA,-0.02219,0.01819
220502,Alonso De Alvarado,2019,0.03268385606503765,GANANCIA EXTREMA,-0.02219,0.01819
250304,Neshuya,2007,-0.03253105094977288,PERDIDA EXTREMA,-0.02219,0.01819
220204,Huallaga,2002,-0.03244670359899937,PERDIDA EXTREMA,-0.02219,0.01819
060810,San Felipe,1991,0.0323561082357845,GANANCIA EXTREMA,-0.02219,0.01819
220704,Pilluana,2005,0.03234770864986303,GANANCIA EXTREMA,-0.02219,0.01819
220807,San Fernando,1988,-0.03198074720409759,PERDIDA EXTREMA,-0.02219,0.01819
060810,San Felipe,2009,0.03197749140296641,GANANCIA EXTREMA,-0.02219,0.01819
220708,Shamboyacu,2007,-0.03189052667756509,PERDIDA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,1987,0.031788238523296486,GANANCIA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,1990,0.0317196184725177,GANANCIA EXTREMA,-0.02219,0.01819
060901,San Ignacio,1987,-0.03146722008301239,PERDIDA EXTREMA,-0.02219,0.01819
220501,Lamas,2016,0.03140211040855695,GANANCIA EXTREMA,-0.02219,0.01819
060809,Sallique,2011,-0.031279404220349,PERDIDA EXTREMA,-0.02219,0.01819
010204,El Parco,1995,0.031188797493145293,GANANCIA EXTREMA,-0.02219,0.01819
220802,Awajun,2006,-0.03072250852768732,PERDIDA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,1997,-0.030642750373692074,PERDIDA EXTREMA,-0.02219,0.01819
050502,Anco,1986,-0.030460102596814642,PERDIDA EXTREMA,-0.02219,0.01819
010703,Cumba,2017,-0.03039528951343301,PERDIDA EXTREMA,-0.02219,0.01819
220710,Tres Unidos,2007,-0.03037070227606553,PERDIDA EXTREMA,-0.02219,0.01819
220804,Nueva Cajamarca,1987,-0.03035079125045259,PERDIDA EXTREMA,-0.02219,0.01819
010703,Cumba,1998,-0.03029774555214315,PERDIDA EXTREMA,-0.02219,0.01819
010523,Trita,2012,0.030277972139176892,GANANCIA EXTREMA,-0.02219,0.01819
220702,Buenos Aires,2002,-0.030256948684443286,PERDIDA EXTREMA,-0.02219,0.01819
220710,Tres Unidos,2012,0.02973333684762891,GANANCIA EXTREMA,-0.02219,0.01819
100505,Jircan,1989,-0.029701505783510385,PERDIDA EXTREMA,-0.02219,0.01819
060902,Chirinos,1999,-0.0296855295554177,PERDIDA EXTREMA,-0.02219,0.01819
010608,Milpuc,2019,0.029663032910659193,GANANCIA EXTREMA,-0.02219,0.01819
010307,Jazan,2019,-0.029624150199020816,PERDIDA EXTREMA,-0.02219,0.01819
220501,Lamas,2001,0.02946608173885573,GANANCIA EXTREMA,-0.02219,0.01819
220405,Sacanche,2005,-0.02923164722280147,PERDIDA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,2006,-0.029116841056302967,PERDIDA EXTREMA,-0.02219,0.01819
