modelo,geocode,departamento,distrito,horizonte,anio,y_true,y_pred,error,abs_error,squared_error
Persistencia_WF,010102,Amazonas,Asuncion,1,2020,0.4378221156299433,0.4433076491299689,0.0054855335000256,0.0054855335000256,3.009107777990332e-05
Persistencia_WF,010102,Amazonas,Asuncion,2,2021,0.4525182425881512,0.4378221156299433,-0.0146961269582079,0.0146961269582079,0.0002159761475717
Persistencia_WF,010102,Amazonas,Asuncion,3,2022,0.4470071949788233,0.4525182425881512,0.0055110476093279,0.0055110476093279,3.03716457522789e-05
Persistencia_WF,010102,Amazonas,Asuncion,4,2023,0.440271470122978,0.4470071949788233,0.0067357248558452,0.0067357248558452,4.536998933365195e-05
Persistencia_WF,010102,Amazonas,Asuncion,5,2024,0.4403990406694902,0.440271470122978,-0.0001275705465121,0.0001275705465121,1.6274244337418866e-08
Persistencia_WF,010104,Amazonas,Cheto,1,2020,0.5453453377506892,0.5560430945094965,0.0106977567588073,0.0106977567588073,0.0001144419996706
Persistencia_WF,010104,Amazonas,Cheto,2,2021,0.5521104676158923,0.5453453377506892,-0.0067651298652031,0.0067651298652031,4.576698209306383e-05
Persistencia_WF,010104,Amazonas,Cheto,3,2022,0.5424875445739865,0.5521104676158923,0.0096229230419058,0.0096229230419058,9.260064787044192e-05
Persistencia_WF,010104,Amazonas,Cheto,4,2023,0.5340911964796035,0.5424875445739865,0.008396348094383,0.008396348094383,7.049866132204995e-05
Persistencia_WF,010104,Amazonas,Cheto,5,2024,0.5357477049138869,0.5340911964796035,-0.0016565084342834,0.0016565084342834,2.7440201928521853e-06
Persistencia_WF,010105,Amazonas,Chiliquin,1,2020,0.5714303656767501,0.5745765798579494,0.0031462141811993,0.0031462141811993,9.898663673979669e-06
Persistencia_WF,010105,Amazonas,Chiliquin,2,2021,0.5850451208560717,0.5714303656767501,-0.0136147551793216,0.0136147551793216,0.0001853615585928
Persistencia_WF,010105,Amazonas,Chiliquin,3,2022,0.5817105106161179,0.5850451208560717,0.0033346102399538,0.0033346102399538,1.1119625452405074e-05
Persistencia_WF,010105,Amazonas,Chiliquin,4,2023,0.5734085242936717,0.5817105106161179,0.0083019863224461,0.0083019863224461,6.892297689808318e-05
Persistencia_WF,010105,Amazonas,Chiliquin,5,2024,0.576341222941616,0.5734085242936717,-0.0029326986479443,0.0029326986479443,8.600721359654446e-06
Persistencia_WF,010109,Amazonas,La Jalca,1,2020,0.3125219422372842,0.3093765896927012,-0.0031453525445829,0.0031453525445829,9.893242629714627e-06
Persistencia_WF,010109,Amazonas,La Jalca,2,2021,0.3174441682011306,0.3125219422372842,-0.0049222259638463,0.0049222259638463,2.422830843916356e-05
Persistencia_WF,010109,Amazonas,La Jalca,3,2022,0.3227747884589205,0.3174441682011306,-0.0053306202577899,0.0053306202577899,2.841551233276015e-05
Persistencia_WF,010109,Amazonas,La Jalca,4,2023,0.3151442634931325,0.3227747884589205,0.0076305249657879,0.0076305249657879,5.822491125351361e-05
Persistencia_WF,010109,Amazonas,La Jalca,5,2024,0.3206683336796326,0.3151442634931325,-0.0055240701865,0.0055240701865,3.0515351425379087e-05
Persistencia_WF,010111,Amazonas,Levanto,1,2020,0.2398626572728676,0.2301322339578704,-0.0097304233149971,0.0097304233149971,9.468113788904076e-05
Persistencia_WF,010111,Amazonas,Levanto,2,2021,0.2406111513740213,0.2398626572728676,-0.0007484941011537,0.0007484941011537,5.602434194619043e-07
Persistencia_WF,010111,Amazonas,Levanto,3,2022,0.2381874561893333,0.2406111513740213,0.002423695184688,0.002423695184688,5.874298348279888e-06
Persistencia_WF,010111,Amazonas,Levanto,4,2023,0.2314034858439568,0.2381874561893333,0.0067839703453764,0.0067839703453764,4.602225364694745e-05
Persistencia_WF,010111,Amazonas,Levanto,5,2024,0.2335776829949268,0.2314034858439568,-0.0021741971509699,0.0021741971509699,4.727133251285958e-06
Persistencia_WF,010112,Amazonas,Magdalena,1,2020,0.3664946897194544,0.3639019075000328,-0.0025927822194216,0.0025927822194216,6.722519637348838e-06
Persistencia_WF,010112,Amazonas,Magdalena,2,2021,0.3710304176020375,0.3664946897194544,-0.004535727882583,0.004535727882583,2.0572827424841333e-05
Persistencia_WF,010112,Amazonas,Magdalena,3,2022,0.381020834153834,0.3710304176020375,-0.0099904165517965,0.0099904165517965,9.980842287840946e-05
Persistencia_WF,010112,Amazonas,Magdalena,4,2023,0.3749491289564544,0.381020834153834,0.0060717051973795,0.0060717051973795,3.686560400388639e-05
Persistencia_WF,010112,Amazonas,Magdalena,5,2024,0.3842240688958029,0.3749491289564544,-0.0092749399393485,0.0092749399393485,8.602451087852243e-05
Persistencia_WF,010114,Amazonas,Molinopampa,1,2020,0.549169769416683,0.5511868835325625,0.0020171141158794,0.0020171141158794,4.068749356480172e-06
Persistencia_WF,010114,Amazonas,Molinopampa,2,2021,0.5483545626755504,0.549169769416683,0.0008152067411326,0.0008152067411326,6.645620307881448e-07
Persistencia_WF,010114,Amazonas,Molinopampa,3,2022,0.5366255144032922,0.5483545626755504,0.0117290482722581,0.0117290482722581,0.0001375705733729
