departamento,rmse,mae
Cajamarca,0.023973,0.016284
Ucayali,0.014624,0.013003
Piura,0.014301,0.011065
Huanuco,0.013782,0.009346
Loreto,0.012708,0.008094
Junin,0.012929,0.007995
Amazonas,0.009529,0.006963
San Martin,0.008662,0.00664
Puno,0.006288,0.006143
Cusco,0.007093,0.005828
Madre De Dios,0.007268,0.005482
Ayacucho,0.006275,0.00454
