geocode,departamento,distrito,rmse,mae
60810,Cajamarca,San Felipe,0.038151,0.033616
60904,Cajamarca,La Coipa,0.034209,0.02526
60901,Cajamarca,San Ignacio,0.035651,0.02518
120209,Junin,Mariscal Castilla,0.032925,0.024951
100505,Huanuco,Jircan,0.025278,0.022299
100804,Huanuco,Umari,0.0283,0.020305
60902,Cajamarca,Chirinos,0.031831,0.020137
60803,Cajamarca,Chontali,0.027981,0.019622
60811,Cajamarca,San Jose Del Alto,0.022167,0.0173
250106,Ucayali,Nueva Requena,0.017777,0.016922
100113,Huanuco,San Pablo De Pillao,0.023187,0.016031
10115,Amazonas,Montevideo,0.024679,0.015694
250102,Ucayali,Campoverde,0.015983,0.015222
220507,San Martin,Rumisapa,0.015995,0.014954
160101,Loreto,Iquitos,0.022657,0.014854
60907,Cajamarca,Tabaconas,0.019464,0.014838
60804,Cajamarca,Colasay,0.017499,0.014346
10119,Amazonas,San Isidro De Maino,0.014361,0.013452
250105,Ucayali,Yarinacocha,0.017877,0.013436
250304,Ucayali,Neshuya,0.014199,0.013343
10706,Amazonas,Lonya Grande,0.016396,0.013341
200307,Piura,Sondor,0.01553,0.013222
10705,Amazonas,Jamalca,0.014135,0.012705
60807,Cajamarca,Pomahuaca,0.015635,0.012648
250305,Ucayali,Alexander Von Humboldt,0.013295,0.012579
10305,Amazonas,Cuispes,0.013765,0.012527
10204,Amazonas,El Parco,0.013086,0.01191
10701,Amazonas,Bagua Grande,0.013739,0.011708
220501,San Martin,Lamas,0.012168,0.011659
220204,San Martin,Huallaga,0.0127,0.011604
10610,Amazonas,Santa Rosa,0.016958,0.011563
120304,Junin,San Luis De Shuaro,0.014535,0.011525
10307,Amazonas,Jazan,0.012059,0.01136
220902,San Martin,Alberto Leveau,0.013391,0.011295
250306,Ucayali,Huipoca,0.011487,0.011182
220806,San Martin,Posic,0.012805,0.01111
220706,San Martin,San Cristobal,0.013162,0.011035
10503,Amazonas,Cocabamba,0.011799,0.010532
10513,Amazonas,Ocumal,0.010608,0.010452
10611,Amazonas,Totora,0.012985,0.010258
220601,San Martin,Juanjui,0.011466,0.010258
220705,San Martin,Pucacaca,0.012211,0.010045
10515,Amazonas,Providencia,0.010922,0.009991
220201,San Martin,Bellavista,0.01157,0.009906
220302,San Martin,Agua Blanca,0.012112,0.009802
100903,Huanuco,Honoria,0.013278,0.009684
10310,Amazonas,Shipasbamba,0.011386,0.009555
100103,Huanuco,Chinchao,0.010737,0.009518
10303,Amazonas,Churuja,0.013661,0.009456
10112,Amazonas,Magdalena,0.010025,0.009424
220203,San Martin,Bajo Biavo,0.010944,0.009356
220605,San Martin,Pajarillo,0.010794,0.00935
60809,Cajamarca,Sallique,0.013209,0.009265
220502,San Martin,Alonso De Alvarado,0.011275,0.009161
220405,San Martin,Sacanche,0.009846,0.009079
220304,San Martin,Santa Rosa,0.011123,0.009051
