geocode,departamento,distrito,anio,pct_anp,tiene_anp
250305,Ucayali,Alexander Von Humboldt,1985,0.0,0
220509,San Martin,Shanao,1985,0.0,0
250304,Ucayali,Neshuya,1985,0.0,0
220501,San Martin,Lamas,1985,0.0,0
220902,San Martin,Alberto Leveau,1985,0.0,0
250102,Ucayali,Campoverde,1985,0.0,0
220702,San Martin,Buenos Aires,1985,0.0,0
220502,San Martin,Alonso De Alvarado,1985,0.0,0
220404,San Martin,Piscoyacu,1985,0.0,0
220708,San Martin,Shamboyacu,1985,0.0,0
220204,San Martin,Huallaga,1985,0.0,0
220605,San Martin,Pajarillo,1985,0.0,0
010703,Amazonas,Cumba,1985,0.0,0
220704,San Martin,Pilluana,1985,0.0,0
220104,San Martin,Jepelacio,1985,0.0,0
220505,San Martin,Cuñumbuqui,1985,0.0,0
220507,San Martin,Rumisapa,1985,0.0,0
220913,San Martin,Sauce,1985,0.0,0
010608,Amazonas,Milpuc,1985,0.0,0
220405,San Martin,Sacanche,1985,0.0,0
220709,San Martin,Tingo De Ponasa,1985,0.0,0
220304,San Martin,Santa Rosa,1985,0.0,0
100903,Huanuco,Honoria,1985,0.0,0
220203,San Martin,Bajo Biavo,1985,0.0,0
220710,San Martin,Tres Unidos,1985,0.0,0
220510,San Martin,Tabalosos,1985,0.0,0
100904,Huanuco,Tournavista,1985,0.0,0
010701,Amazonas,Bagua Grande,1985,0.0,0
220701,San Martin,Picota,1985,0.0,0
220403,San Martin,El Eslabon,1985,0.0,0
250105,Ucayali,Yarinacocha,1985,0.0,0
220914,San Martin,Shapaja,1985,0.0,0
010707,Amazonas,Yamon,1985,0.0,0
010705,Amazonas,Jamalca,1985,0.0,0
220205,San Martin,San Pablo,1985,0.0,0
220705,San Martin,Pucacaca,1985,0.0,0
220601,San Martin,Juanjui,1985,0.0,0
100905,Huanuco,Yuyapichis,1985,0.0,0
100608,Huanuco,Castillo Grande,1985,0.0,0
220302,San Martin,Agua Blanca,1985,0.0,0
250306,Ucayali,Huipoca,1985,0.0,0
010611,Amazonas,Totora,1985,0.0,0
010706,Amazonas,Lonya Grande,1985,0.0,0
220706,San Martin,San Cristobal,1985,0.0,0
010303,Amazonas,Churuja,1985,0.0,0
220301,San Martin,San Jose De Sisa,1985,0.0,0
010204,Amazonas,El Parco,1985,0.0,0
010306,Amazonas,Florida,1985,0.0,0
220303,San Martin,San Martin,1985,0.0,0
220106,San Martin,Yantalo,1985,0.0,0
