departamento,rmse,mae
Cajamarca,0.022528,0.01571
Piura,0.012984,0.010285
Ucayali,0.012133,0.010272
Loreto,0.013121,0.008421
Huanuco,0.011815,0.008284
Amazonas,0.009609,0.007156
Junin,0.009282,0.006938
San Martin,0.008817,0.006838
Cusco,0.007327,0.006106
Madre De Dios,0.007591,0.005788
Ayacucho,0.005303,0.004213
Puno,0.005232,0.003526
