window_size,modelo,unidades_ocultas,num_capas,dropout,epocas,lr,lote,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
3,LSTM_w3_h16_l1_d0.1_e50_lr0.0005_b16,16,1,0.1,50,0.0005,16,0.010333,0.007397,0.011587,0.008146,0.001254,0.000749,1.121331,1.101234
4,LSTM_w4_h64_l1_d0.1_e50_lr0.0005_b8,64,1,0.1,50,0.0005,8,0.009805,0.007116,0.011447,0.008041,0.001642,0.000925,1.1675,1.130055
5,LSTM_w5_h32_l2_d0.0_e50_lr0.0005_b16,32,2,0.0,50,0.0005,16,0.009138,0.006497,0.011565,0.008283,0.002427,0.001785,1.265646,1.274796
6,LSTM_w6_h16_l2_d0.0_e50_lr0.001_b8,16,2,0.0,50,0.001,8,0.00956,0.007177,0.011067,0.007788,0.001507,0.00061,1.15766,1.085037
7,LSTM_w7_h64_l2_d0.0_e50_lr0.001_b8,64,2,0.0,50,0.001,8,0.009734,0.007121,0.01192,0.008457,0.002186,0.001336,1.224588,1.187582
