Métrica,Valor
Total distritos,227
Cambio máximo (%),74.44
Cambio mínimo (%),0.97
Cambio promedio (%),25.12
Total píxeles válidos,816789417
Total píxeles cambio,83419004
Porcentaje global (%),10.21
