geocode,departamento,distrito,anio,pix_total,pix_agropecuario,pct_agropecuario
160503,Loreto,Capelo,1988,899920,108495,0.120561
220910,San Martin,Morales,1988,57052,44370,0.777712
120604,Junin,Mazamari,1988,1435555,182407,0.127064
120603,Junin,Llaylla,1988,351860,74422,0.21151
010520,Amazonas,Santa Catalina,1988,185180,29996,0.161983
010603,Amazonas,Cochamal,1988,203378,18346,0.090206
120209,Junin,Mariscal Castilla,1988,64224,11717,0.18244
010601,Amazonas,San Nicolas,1988,114944,23865,0.207623
010519,Amazonas,San Juan De Lopecancha,1988,97124,38389,0.395258
160211,Loreto,Teniente Cesar Lopez Rojas,1988,1485058,198715,0.13381
080408,Cusco,Yanatile,1988,2284182,366226,0.160331
050408,Ayacucho,Llochegua,1988,590673,91571,0.155028
100507,Huanuco,Monzon,1988,1590702,223442,0.140468
081304,Cusco,Machupicchu,1988,414663,47178,0.113774
220909,San Martin,La Banda De Shilcayo,1988,300132,72078,0.240154
220103,San Martin,Habana,1988,77392,64915,0.838782
100606,Huanuco,Mariano Damaso Beraun,1988,846065,119363,0.14108
010508,Amazonas,Lonya Chico,1988,78176,17233,0.220438
170102,Madre De Dios,Inambari,1988,5562594,93202,0.016755
050502,Ayacucho,Anco,1988,859091,124556,0.144986
010523,Amazonas,Trita,1988,15721,8565,0.544813
010516,Amazonas,San Cristobal,1988,39966,17010,0.425612
080918,Cusco,Union Ashaninka,1988,351495,22340,0.063557
221006,San Martin,Santa Lucia,1988,303241,216069,0.712532
100702,Huanuco,Cholon,1988,2490435,345158,0.138593
211205,Puno,Phara,1988,498219,13113,0.02632
170204,Madre De Dios,Huepetuhe,1988,1747509,33057,0.018917
010302,Amazonas,Chisquilla,1988,181907,7573,0.041631
050507,Ayacucho,Santa Rosa,1988,446106,112260,0.251644
220804,San Martin,Nueva Cajamarca,1988,375608,113087,0.301077
220809,San Martin,Yuracyacu,1988,69776,47352,0.678629
160603,Loreto,Padre Marquez,1988,2751150,97707,0.035515
010522,Amazonas,Tingo,1988,122640,36754,0.29969
080906,Cusco,Quellouno,1988,2249644,324766,0.144363
010301,Amazonas,Jumbilla,1988,178356,35514,0.199119
080917,Cusco,Manitea,1988,163511,17225,0.105345
250305,Ucayali,Alexander Von Humboldt,1989,232299,59482,0.256058
220509,San Martin,Shanao,1989,27404,12120,0.442271
250304,Ucayali,Neshuya,1989,705695,118764,0.168294
220501,San Martin,Lamas,1989,145659,78872,0.541484
220902,San Martin,Alberto Leveau,1989,58292,21295,0.365316
250102,Ucayali,Campoverde,1989,1499070,557140,0.371657
220702,San Martin,Buenos Aires,1989,350498,174169,0.496919
220502,San Martin,Alonso De Alvarado,1989,333345,91445,0.274325
220404,San Martin,Piscoyacu,1989,202503,71141,0.351308
220708,San Martin,Shamboyacu,1989,442263,43525,0.098414
220204,San Martin,Huallaga,1989,288997,47291,0.163638
220605,San Martin,Pajarillo,1989,512229,203967,0.398195
010703,Amazonas,Cumba,1989,338309,139256,0.411624
220704,San Martin,Pilluana,1989,77007,34021,0.441791
220104,San Martin,Jepelacio,1989,434300,149996,0.345374
220505,San Martin,Cuñumbuqui,1989,204978,113110,0.551815
220507,San Martin,Rumisapa,1989,37418,26508,0.708429
220913,San Martin,Sauce,1989,113557,37760,0.33252
010608,Amazonas,Milpuc,1989,48343,23701,0.490267
220405,San Martin,Sacanche,1989,182234,94766,0.520024
220709,San Martin,Tingo De Ponasa,1989,377839,132677,0.351147
220304,San Martin,Santa Rosa,1989,280633,136975,0.488093
100903,Huanuco,Honoria,1989,1073943,154854,0.144192
220203,San Martin,Bajo Biavo,1989,1265183,227851,0.180093
220710,San Martin,Tres Unidos,1989,417343,62791,0.150454
220510,San Martin,Tabalosos,1989,407368,150692,0.369916
100904,Huanuco,Tournavista,1989,1971052,153839,0.078049
010701,Amazonas,Bagua Grande,1989,817863,303756,0.371402
220701,San Martin,Picota,1989,244840,106341,0.434329
220403,San Martin,El Eslabon,1989,140447,78638,0.559912
250105,Ucayali,Yarinacocha,1989,747695,368699,0.493114
220914,San Martin,Shapaja,1989,267687,83248,0.31099
