geocode,departamento,distrito,anio,pct_agropecuario,pct_anp,tiene_anp,pct_rios_lagos,pct_urbano,km_carreteras,area_utm_km2,densidad_carreteras_km_km2,km_rios,densidad_rios_km_km2,elev_media_m,elev_mediana_m,elev_std_m,elev_min_m,elev_max_m,elev_count_px,pendiente_media_deg,pendiente_mediana_deg,pendiente_std_deg,pendiente_min_deg,pendiente_max_deg,pendiente_count_px
010101,Amazonas,Chachapoyas,1985,0.156057,0.0,0,0.001231,0.019724,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1986,0.155726,0.0,0,0.001974,0.019956,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1987,0.212158,0.0,0,0.001817,0.026742,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1988,0.238651,0.0,0,0.001857,0.027061,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1989,0.240926,0.0,0,0.001869,0.028164,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1990,0.240119,0.0,0,0.001846,0.02958,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1991,0.234047,0.0,0,0.001614,0.031386,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1992,0.197444,0.0,0,0.001254,0.032146,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1993,0.173865,0.0,0,0.00191,0.032401,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1994,0.183646,0.0,0,0.001997,0.033823,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1995,0.211682,0.0,0,0.001799,0.034027,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1996,0.220447,0.0,0,0.001498,0.034456,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1997,0.237083,0.0,0,0.001637,0.034665,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1998,0.251235,0.0,0,0.002037,0.034973,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,1999,0.256482,0.0,0,0.001974,0.035263,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,2000,0.250631,0.0,0,0.001904,0.036081,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,2001,0.254654,0.0,0,0.001898,0.036621,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
010101,Amazonas,Chachapoyas,2002,0.254549,0.0,0,0.001916,0.036778,112.57578800942773,153.3889745744202,0.7339235973235415,8.526130527787236,0.0555850285292218,2429.969330373659,2393.0,377.3738290027376,1604.0,3412.0,162180,20.772515585004104,20.089332580566406,10.811424772060322,0.0387751571834087,71.10832977294922,163298
