geocode,departamento,distrito,anio,pix_total,pix_bosque,pix_no_bosque,pct_bosque,pct_no_bosque,pct_agropecuario,pct_anp,densidad_carreteras_km_km2,densidad_rios_km_km2,elev_media_m,pendiente_media_deg
010101,Amazonas,Chachapoyas,1985,172277,44566,127711,0.2586880430933903,0.7413119569066097,0.156057,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1986,172277,44472,127805,0.2581424101882433,0.7418575898117566,0.155726,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1987,172277,39411,132866,0.2287653023909169,0.771234697609083,0.212158,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1988,172277,38176,134101,0.2215966147541459,0.7784033852458541,0.238651,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1989,172277,38235,134042,0.2219390864712062,0.7780609135287937,0.240926,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1990,172277,39865,132412,0.2314005932306692,0.7685994067693308,0.240119,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1991,172277,39074,133203,0.2268091503799114,0.7731908496200885,0.234047,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1992,172277,38098,134179,0.2211438555349814,0.7788561444650185,0.197444,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1993,172277,36273,136004,0.2105504507276072,0.7894495492723927,0.173865,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1994,172277,33539,138738,0.1946806596353547,0.8053193403646454,0.183646,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1995,172277,35721,136556,0.2073463085612124,0.7926536914387875,0.211682,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1996,172277,36266,136011,0.2105098184899899,0.78949018151001,0.220447,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1997,172277,36369,135908,0.211107692843502,0.7888923071564979,0.237083,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1998,172277,37151,135126,0.2156468942458947,0.7843531057541053,0.251235,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1999,172277,38969,133308,0.2261996668156515,0.7738003331843485,0.256482,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2000,172277,39895,132382,0.2315747313918863,0.7684252686081137,0.250631,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2001,172277,39050,133227,0.2266698398509377,0.7733301601490623,0.254654,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2002,172277,39380,132897,0.2285853596243259,0.7714146403756741,0.254549,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2003,172277,39559,132718,0.2296243839862547,0.7703756160137453,0.252123,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2004,172277,38545,133732,0.2237385141371164,0.7762614858628836,0.263773,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2005,172277,36447,135830,0.2115604520626665,0.7884395479373335,0.264411,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2006,172277,35142,137135,0.2039854420497222,0.7960145579502778,0.261439,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2007,172277,35562,136715,0.2064233763067617,0.7935766236932382,0.248391,0.0233,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2008,172277,36215,136062,0.2102137836159208,0.7897862163840791,0.252198,0.0233,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2009,172277,37289,134988,0.2164479297874934,0.7835520702125066,0.250887,0.0233,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2010,172277,37853,134424,0.219721727218375,0.780278272781625,0.253696,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2011,172277,38704,133573,0.224661446391567,0.775338553608433,0.250039,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2012,172277,39573,132704,0.2297056484614893,0.7702943515385107,0.246313,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2013,172277,40095,132182,0.232735652466667,0.767264347533333,0.242824,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2014,172277,40422,131855,0.2346337584239335,0.7653662415760665,0.22952,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2015,172277,41432,130845,0.2404964098515762,0.7595035901484237,0.218427,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2016,172277,41605,130672,0.2415006065812615,0.7584993934187384,0.20968,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2017,172277,41736,130541,0.2422610098852429,0.7577389901147571,0.218462,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2018,172277,43182,129095,0.2506544692559076,0.7493455307440924,0.221196,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2019,172277,43187,129090,0.2506834922827771,0.7493165077172228,0.227094,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2020,172277,43326,128951,0.2514903324297498,0.7485096675702503,0.227024,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2021,172277,43540,128737,0.2527325179797651,0.7472674820202349,0.222711,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2022,172277,43252,129025,0.2510607916320809,0.7489392083679192,0.250446,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2023,172277,43416,128861,0.2520127469134011,0.7479872530865989,0.251264,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2024,172277,43485,128792,0.2524132646842004,0.7475867353157996,0.252233,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010113,Amazonas,Mariscal Castilla,1985,88754,27901,60853,0.3143632963021385,0.6856367036978616,0.251369,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1986,88754,27883,60871,0.3141604885413615,0.6858395114586385,0.250637,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1987,88754,24688,64066,0.2781621110034477,0.7218378889965522,0.304696,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1988,88754,23551,65203,0.2653514207810352,0.7346485792189648,0.307423,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1989,88754,23028,65726,0.2594587286206818,0.7405412713793181,0.317586,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1990,88754,22838,65916,0.2573179800347027,0.7426820199652974,0.318577,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1991,88754,23052,65702,0.2597291389683845,0.7402708610316154,0.323287,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1992,88754,23435,65319,0.2640444374338058,0.7359555625661942,0.323816,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1993,88754,23016,65738,0.2593235234468306,0.7406764765531695,0.321022,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1994,88754,21853,66901,0.2462198886810735,0.7537801113189264,0.308234,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1995,88754,22760,65994,0.2564391464046691,0.7435608535953309,0.284562,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1996,88754,23134,65620,0.2606530409897019,0.7393469590102981,0.274771,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1997,88754,22145,66609,0.2495098812447889,0.750490118755211,0.268326,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1998,88754,21182,67572,0.2386596660432206,0.7613403339567794,0.268686,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,1999,88754,22213,66541,0.2502760438966131,0.7497239561033869,0.257318,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2000,88754,22643,66111,0.2551208959596187,0.7448791040403813,0.263695,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2001,88754,22808,65946,0.2569799671000743,0.7430200328999257,0.264698,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2002,88754,23185,65569,0.26122766297857,0.73877233702143,0.254896,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2003,88754,23402,65352,0.2636726232057146,0.7363273767942853,0.255819,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2004,88754,22615,66139,0.2548054172206323,0.7451945827793677,0.280607,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2005,88754,23414,65340,0.263807828379566,0.736192171620434,0.279334,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2006,88754,24146,64608,0.2720553439844965,0.7279446560155035,0.272675,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2007,88754,24391,64363,0.2748157829506276,0.7251842170493724,0.268191,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2008,88754,25129,63625,0.2831309011424837,0.7168690988575163,0.277689,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2009,88754,25308,63446,0.2851477116524326,0.7148522883475674,0.27868,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
010113,Amazonas,Mariscal Castilla,2010,88754,26174,62580,0.2949050183653695,0.7050949816346306,0.265374,0.0,0.41977925192291,0.0426215370013919,2905.4881905787997,16.897575310522058
