anio,variable,n_distritos,n_no_nulos,completitud_pct,fuente_cobertura,pix_total_promedio,pix_total_mediana,pix_total_min,pix_total_max,alerta_baja_cobertura
2013,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2014,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2014,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2015,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2015,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2016,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2016,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2017,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2017,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2018,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2018,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2019,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2019,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2020,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2020,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2021,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2021,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2022,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2022,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2023,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2023,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
2024,pct_agropecuario,200,200,100.0,raster MapBiomas - pix_total (pixeles validos),543348.9,290631.0,15721.0,5562594.0,False
2024,pct_anp,200,200,100.0,vectorial SERNANP - sin concepto de pixeles validos,,,,,
