geocode,departamento,distrito,anio,pct_agropecuario,pct_anp,densidad_carreteras_km_km2,densidad_rios_km_km2,elev_media_m,pendiente_media_deg
010101,Amazonas,Chachapoyas,1985,0.156057,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1986,0.155726,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1987,0.212158,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1988,0.238651,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1989,0.240926,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1990,0.240119,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1991,0.234047,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1992,0.197444,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1993,0.173865,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1994,0.183646,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1995,0.211682,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1996,0.220447,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1997,0.237083,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1998,0.251235,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,1999,0.256482,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2000,0.250631,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2001,0.254654,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2002,0.254549,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2003,0.252123,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2004,0.263773,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2005,0.264411,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2006,0.261439,0.0,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2007,0.248391,0.0233,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2008,0.252198,0.0233,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2009,0.250887,0.0233,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2010,0.253696,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2011,0.250039,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2012,0.246313,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2013,0.242824,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2014,0.22952,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
010101,Amazonas,Chachapoyas,2015,0.218427,0.04193,0.7339235973235415,0.0555850285292218,2429.969330373659,20.772515585004104
